Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,12,Ayrton Senna,SEN,Lotus Renault,1:38.301
2,5,Nigel Mansell,MAN,Williams Honda,1:38.839
3,6,Nelson Piquet,PIQ,Williams Honda,1:39.076
4,25,Rene Arnoux,ARN,Ligier Renault,1:39.689
5,28,Stefan Johansson,JOH,Ferrari,1:40.312
6,26,Jacques Laffite,LAF,Ligier Renault,1:40.676
7,1,Alain Prost,PRO,McLaren TAG,1:40.715
8,7,Riccardo Patrese,PAT,Brabham BMW,1:40.819
9,2,Keke Rosberg,ROS,McLaren TAG,1:40.848
10,16,Eddie Cheever,CHE,Lola Ford,1:41.540
11,27,Michele Alboreto,ALB,Ferrari,1:41.606
12,20,Gerhard Berger,BER,Benetton BMW,1:41.836
13,18,Thierry Boutsen,BOU,Arrows BMW,1:42.279
14,11,Johnny Dumfries,DUM,Lotus Renault,1:42.511
15,8,Derek Warwick,WAR,Brabham BMW,1:42.558
16,3,Martin Brundle,BRU,Tyrrell Renault,1:42.815
17,19,Teo Fabi,FAB,Benetton BMW,1:43.658
18,4,Philippe Streiff,STR,Tyrrell Renault,1:43.796
19,17,Christian Danner,DAN,Arrows BMW,1:44.259
20,14,Jonathan Palmer,PAL,Zakspeed,1:44.401
21,15,Alan Jones,JON,Lola Ford,1:44.450
22,21,Piercarlo Ghinzani,GHI,Osella Alfa Romeo,1:45.059
23,23,Andrea de Cesaris,DEC,Minardi Motori Moderni,1:46.705
24,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:47.230
25,22,Allen Berg,BER,Osella Alfa Romeo,1:48.682
26,29,Huub Rothengatter,ROT,Zakspeed,1:49.680
