Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,53,1:27:33.298,10
2,6,Juan Pablo Montoya,MOY,Williams BMW,53,+3.154s,6
3,4,David Coulthard,COU,McLaren Mercedes,53,+23.262s,4
4,3,Mika Hakkinen,HAK,McLaren Mercedes,53,+35.539s,3
5,2,Rubens Barrichello,BAR,Ferrari,53,+36.544s,2
6,5,Ralf Schumacher,RSC,Williams BMW,53,+37.122s,1
7,8,Jenson Button,BUT,Benetton Renault,53,+97.102s,0
8,11,Jarno Trulli,TRU,Jordan Honda,52,+1 lap,0
9,16,Nick Heidfeld,HEI,Sauber Petronas,52,+1 lap,0
10,10,Jacques Villeneuve,VIL,BAR Honda,52,+1 lap,0
11,21,Fernando Alonso,ALO,Minardi European,52,+1 lap,0
12,22,Heinz-Harald Frentzen,FRE,Prost Acer,52,+1 lap,0
13,9,Olivier Panis,PAN,BAR Honda,51,+2 laps,0
14,15,Enrique Bernoldi,BER,Arrows Asiatech,51,+2 laps,0
15,14,Jos Verstappen,VER,Arrows Asiatech,51,+2 laps,0
16,20,Alex Yoong,YOO,Minardi European,50,+3 laps,0
17,7,Giancarlo Fisichella,FIS,Benetton Renault,47,DNF,0
NC,19,Pedro de la Rosa,DLR,Jaguar Cosworth,45,DNF,0
NC,23,Tomas Enge,ENG,Prost Acer,42,DNF,0
NC,18,Eddie Irvine,IRV,Jaguar Cosworth,24,DNF,0
NC,17,Kimi Räikkönen,RAI,Sauber Petronas,5,DNF,0
NC,12,Jean Alesi,ALE,Jordan Honda,5,DNF,0
