Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
austria,05 Jul 2020,Valtteri Bottas,BOT,Mercedes,71,1:30:55.739
styria,12 Jul 2020,Lewis Hamilton,HAM,Mercedes,71,1:22:50.683
hungary,19 Jul 2020,Lewis Hamilton,HAM,Mercedes,70,1:36:12.473
great-britain,02 Aug 2020,Lewis Hamilton,HAM,Mercedes,52,1:28:01.283
70th-anniversary,09 Aug 2020,Max Verstappen,VER,Red Bull Racing Honda,52,1:19:41.993
spain,16 Aug 2020,Lewis Hamilton,HAM,Mercedes,66,1:31:45.279
belgium,30 Aug 2020,Lewis Hamilton,HAM,Mercedes,44,1:24:08.761
italy,06 Sep 2020,Pierre Gasly,GAS,AlphaTauri Honda,53,1:47:06.056
tuscany,13 Sep 2020,Lewis Hamilton,HAM,Mercedes,59,2:19:35.060
russia,27 Sep 2020,Valtteri Bottas,BOT,Mercedes,53,1:34:00.364
eifel,11 Oct 2020,Lewis Hamilton,HAM,Mercedes,60,1:35:49.641
portugal,25 Oct 2020,Lewis Hamilton,HAM,Mercedes,66,1:29:56.828
emilia-romagna,01 Nov 2020,Lewis Hamilton,HAM,Mercedes,63,1:28:32.430
turkey,15 Nov 2020,Lewis Hamilton,HAM,Mercedes,58,1:42:19.313
bahrain,29 Nov 2020,Lewis Hamilton,HAM,Mercedes,57,2:59:47.515
sakhir,06 Dec 2020,Sergio Perez,PER,Racing Point BWT Mercedes,87,1:31:15.114
abu-dhabi,13 Dec 2020,Max Verstappen,VER,Red Bull Racing Honda,55,1:36:28.645
