Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,57,2:59:47.515,25
2,33,Max Verstappen,VER,Red Bull Racing Honda,57,+1.254s,19
3,23,Alexander Albon,ALB,Red Bull Racing Honda,57,+8.005s,15
4,4,Lando Norris,NOR,McLaren Renault,57,+11.337s,12
5,55,Carlos Sainz,SAI,McLaren Renault,57,+11.787s,10
6,10,Pierre Gasly,GAS,AlphaTauri Honda,57,+11.942s,8
7,3,Daniel Ricciardo,RIC,Renault,57,+19.368s,6
8,77,Valtteri Bottas,BOT,Mercedes,57,+19.680s,4
9,31,Esteban Ocon,OCO,Renault,57,+22.803s,2
10,16,Charles Leclerc,LEC,Ferrari,56,+1 lap,1
11,26,Daniil Kvyat,KVY,AlphaTauri Honda,56,+1 lap,0
12,63,George Russell,RUS,Williams Mercedes,56,+1 lap,0
13,5,Sebastian Vettel,VET,Ferrari,56,+1 lap,0
14,6,Nicholas Latifi,LAT,Williams Mercedes,56,+1 lap,0
15,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,56,+1 lap,0
16,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,56,+1 lap,0
17,20,Kevin Magnussen,MAG,Haas Ferrari,56,+1 lap,0
18,11,Sergio Perez,PER,Racing Point BWT Mercedes,53,DNF,0
NC,18,Lance Stroll,STR,Racing Point BWT Mercedes,2,DNF,0
NC,8,Romain Grosjean,GRO,Haas Ferrari,0,DNF,0
