Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,33,Max Verstappen,VER,Red Bull Racing Honda,52,1:19:41.993,25
2,44,Lewis Hamilton,HAM,Mercedes,52,+11.326s,19
3,77,Valtteri Bottas,BOT,Mercedes,52,+19.231s,15
4,16,Charles Leclerc,LEC,Ferrari,52,+29.289s,12
5,23,Alexander Albon,ALB,Red Bull Racing Honda,52,+39.146s,10
6,18,Lance Stroll,STR,Racing Point BWT Mercedes,52,+42.538s,8
7,27,Nico Hulkenberg,HUL,Racing Point BWT Mercedes,52,+55.951s,6
8,31,Esteban Ocon,OCO,Renault,52,+64.773s,4
9,4,Lando Norris,NOR,McLaren Renault,52,+65.544s,2
10,26,Daniil Kvyat,KVY,AlphaTauri Honda,52,+69.669s,1
11,10,Pierre Gasly,GAS,AlphaTauri Honda,52,+70.642s,0
12,5,Sebastian Vettel,VET,Ferrari,52,+73.370s,0
13,55,Carlos Sainz,SAI,McLaren Renault,52,+74.070s,0
14,3,Daniel Ricciardo,RIC,Renault,51,+1 lap,0
15,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,51,+1 lap,0
16,8,Romain Grosjean,GRO,Haas Ferrari,51,+1 lap,0
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,51,+1 lap,0
18,63,George Russell,RUS,Williams Mercedes,51,+1 lap,0
19,6,Nicholas Latifi,LAT,Williams Mercedes,51,+1 lap,0
NC,20,Kevin Magnussen,MAG,Haas Ferrari,43,DNF,0
