Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:38.041
2,2,Alain Prost,PRO,McLaren Honda,1:39.771
3,28,Gerhard Berger,BER,Ferrari,1:40.187
4,27,Nigel Mansell,MAN,Ferrari,1:40.406
5,6,Riccardo Patrese,PAT,Williams Renault,1:40.936
5,18,Piercarlo Ghinzani,GHI,Osella Ford,1:44.313
6,19,Alessandro Nannini,NAN,Benetton Ford,1:41.103
6,31,Roberto Moreno,MOR,Coloni Ford,1:44.498
7,5,Thierry Boutsen,BOU,Williams Renault,1:41.324
7,36,Stefan Johansson,JOH,Onyx Ford,1:44.582
8,30,Philippe Alliot,ALL,Lola Lamborghini,1:41.336
8,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:44.780
9,8,Stefano Modena,MOD,Brabham Judd,1:41.458
9,33,Oscar Larrauri,LAR,Euro Brun Judd,1:45.446
10,17,Nicola Larini,LAR,Osella Ford,1:41.519
10,37,Jyrki Jarvilehto,JAR,Onyx Ford,1:45.787
11,11,Nelson Piquet,PIQ,Lotus Judd,1:41.802
11,40,Gabriele Tarquini,TAR,AGS Ford,1:46.705
12,12,Satoru Nakajima,NAK,Lotus Judd,1:41.988
12,41,Yannick Dalmas,DAL,AGS Ford,1:48.306
13,7,Martin Brundle,BRU,Brabham Judd,1:42.182
14,24,Luis Perez-Sala,PER,Minardi Ford,1:42.283
15,21,Alex Caffi,CAF,Dallara Ford,1:42.488
16,22,Andrea de Cesaris,DEC,Dallara Ford,1:42.581
17,16,Ivan Capelli,CAP,March Judd,1:42.672
18,4,Jean Alesi,ALE,Tyrrell Ford,1:42.709
19,23,Paolo Barilla,BAR,Minardi Ford,1:42.780
20,15,Mauricio Gugelmin,GUG,March Judd,1:42.880
21,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:42.892
22,20,Emanuele Pirro,PIR,Benetton Ford,1:43.063
23,26,Olivier Grouillard,GRO,Ligier Ford,1:43.379
24,10,Eddie Cheever,CHE,Arrows Ford,1:43.511
25,9,Derek Warwick,WAR,Arrows Ford,1:43.599
26,3,Jonathan Palmer,PAL,Tyrrell Ford,1:43.757
27,25,Rene Arnoux,ARN,Ligier Ford,1:44.030
28,29,Michele Alboreto,ALB,Lola Lamborghini,1:44.063
29,38,Pierre Henri Raphanel,RAP,Rial Ford,1:47.160
30,39,Bertrand Gachot,GAC,Rial Ford,1:47.295
