Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:15.468
2,28,Gerhard Berger,BER,Ferrari,1:16.059
3,27,Nigel Mansell,MAN,Ferrari,1:16.193
3,41,Yannick Dalmas,DAL,AGS Ford,1:19.320
4,2,Alain Prost,PRO,McLaren Honda,1:16.204
5,23,Pierluigi Martini,MAR,Minardi Ford,1:16.938
6,6,Riccardo Patrese,PAT,Williams Renault,1:17.281
6,37,Jyrki Jarvilehto,JAR,Onyx Ford,1:20.880
7,21,Alex Caffi,CAF,Dallara Ford,1:17.661
7,18,Piercarlo Ghinzani,GHI,Osella Ford,1:21.021
8,5,Thierry Boutsen,BOU,Williams Renault,1:17.801
8,33,Oscar Larrauri,LAR,Euro Brun Judd,1:21.326
9,24,Luis Perez-Sala,PER,Minardi Ford,1:17.844
9,40,Gabriele Tarquini,TAR,AGS Ford,1:21.881
10,7,Martin Brundle,BRU,Brabham Judd,1:17.874
10,17,Nicola Larini,LAR,Osella Ford,1:22.688
11,8,Stefano Modena,MOD,Brabham Judd,1:18.093
11,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:23.920
12,36,Stefan Johansson,JOH,Onyx Ford,1:18.105
12,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:24.116
13,19,Alessandro Nannini,NAN,Benetton Ford,1:18.115
13,32,Enrico Bertaggia,BER,Coloni Ford,1:28.526
14,15,Mauricio Gugelmin,GUG,March Judd,1:18.124
15,31,Roberto Moreno,MOR,Coloni Ford,1:18.196
16,20,Emanuele Pirro,PIR,Benetton Ford,1:18.328
17,30,Philippe Alliot,ALL,Lola Lamborghini,1:18.386
18,3,Jonathan Palmer,PAL,Tyrrell Ford,1:18.404
19,22,Andrea de Cesaris,DEC,Dallara Ford,1:18.442
20,11,Nelson Piquet,PIQ,Lotus Judd,1:18.482
21,29,Michele Alboreto,ALB,Lola Lamborghini,1:18.563
22,9,Derek Warwick,WAR,Arrows Ford,1:18.711
23,25,Rene Arnoux,ARN,Ligier Ford,1:18.767
24,16,Ivan Capelli,CAP,March Judd,1:18.785
25,12,Satoru Nakajima,NAK,Lotus Judd,1:19.165
26,10,Eddie Cheever,CHE,Arrows Ford,1:19.247
27,4,Johnny Herbert,HER,Tyrrell Ford,1:19.264
28,26,Olivier Grouillard,GRO,Ligier Ford,1:19.436
29,39,Pierre Henri Raphanel,RAP,Rial Ford,1:21.435
30,38,Christian Danner,DAN,Rial Ford,1:21.678
