Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,1,Ayrton Senna,SEN,McLaren Honda,1:20.291
2,28,Gerhard Berger,BER,Ferrari,1:20.565
3,2,Alain Prost,PRO,McLaren Honda,1:21.368
4,23,Pierluigi Martini,MAR,Minardi Ford,1:21.479
5,30,Philippe Alliot,ALL,Lola Lamborghini,1:21.708
5,40,Gabriele Tarquini,TAR,AGS Ford,1:24.847
6,6,Riccardo Patrese,PAT,Williams Renault,1:21.777
6,36,Stefan Johansson,JOH,Onyx Ford,1:24.944
7,11,Nelson Piquet,PIQ,Lotus Judd,1:21.922
7,31,Roberto Moreno,MOR,Coloni Ford,1:25.074
8,7,Martin Brundle,BRU,Brabham Judd,1:22.133
8,29,Michele Alboreto,ALB,Lola Lamborghini,1:25.646
9,4,Jean Alesi,ALE,Tyrrell Ford,1:22.363
9,34,Bernd Schneider,SCH,Zakspeed Yamaha,1:25.673
10,20,Emanuele Pirro,PIR,Benetton Ford,1:22.567
10,41,Yannick Dalmas,DAL,AGS Ford,1:26.131
11,17,Nicola Larini,LAR,Osella Ford,1:22.620
11,35,Aguri Suzuki,SUZ,Zakspeed Yamaha,1:26.609
12,8,Stefano Modena,MOD,Brabham Judd,1:22.826
12,33,Oscar Larrauri,LAR,Euro Brun Judd,1:26.803
13,3,Jonathan Palmer,PAL,Tyrrell Ford,1:23.052
13,32,Enrico Bertaggia,BER,Coloni Ford,1:27.236
14,19,Alessandro Nannini,NAN,Benetton Ford,1:23.105
15,22,Andrea de Cesaris,DEC,Dallara Ford,1:23.186
16,9,Derek Warwick,WAR,Arrows Ford,1:23.222
17,37,Jyrki Jarvilehto,JAR,Onyx Ford,1:23.243
18,12,Satoru Nakajima,NAK,Lotus Judd,1:23.309
19,16,Ivan Capelli,CAP,March Judd,1:23.401
20,24,Luis Perez-Sala,PER,Minardi Ford,1:23.443
21,5,Thierry Boutsen,BOU,Williams Renault,1:23.657
22,10,Eddie Cheever,CHE,Arrows Ford,1:23.729
23,21,Alex Caffi,CAF,Dallara Ford,1:23.763
24,26,Olivier Grouillard,GRO,Ligier Ford,1:23.931
25,18,Piercarlo Ghinzani,GHI,Osella Ford,1:24.003
26,15,Mauricio Gugelmin,GUG,March Judd,1:24.707
27,25,Rene Arnoux,ARN,Ligier Ford,1:25.190
28,39,Pierre Henri Raphanel,RAP,Rial Ford,1:25.443
29,38,Gregor Foitek,FOI,Rial Ford,1:29.226
