Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,15 Mar 2015,Lewis Hamilton,HAM,Mercedes,58,1:31:54.067
malaysia,29 Mar 2015,Sebastian Vettel,VET,Ferrari,56,1:41:05.793
china,12 Apr 2015,Lewis Hamilton,HAM,Mercedes,56,1:39:42.008
bahrain,19 Apr 2015,Lewis Hamilton,HAM,Mercedes,57,1:35:05.809
spain,10 May 2015,Nico Rosberg,ROS,Mercedes,66,1:41:12.555
monaco,24 May 2015,Nico Rosberg,ROS,Mercedes,78,1:49:18.420
canada,07 Jun 2015,Lewis Hamilton,HAM,Mercedes,70,1:31:53.145
austria,21 Jun 2015,Nico Rosberg,ROS,Mercedes,71,1:30:16.930
great-britain,05 Jul 2015,Lewis Hamilton,HAM,Mercedes,52,1:31:27.729
hungary,26 Jul 2015,Sebastian Vettel,VET,Ferrari,69,1:46:09.985
belgium,23 Aug 2015,Lewis Hamilton,HAM,Mercedes,43,1:23:40.387
italy,06 Sep 2015,Lewis Hamilton,HAM,Mercedes,53,1:18:00.688
singapore,20 Sep 2015,Sebastian Vettel,VET,Ferrari,61,2:01:22.118
japan,27 Sep 2015,Lewis Hamilton,HAM,Mercedes,53,1:28:06.508
russia,11 Oct 2015,Lewis Hamilton,HAM,Mercedes,53,1:37:11.024
united-states,25 Oct 2015,Lewis Hamilton,HAM,Mercedes,56,1:50:52.703
mexico,01 Nov 2015,Nico Rosberg,ROS,Mercedes,71,1:42:35.038
brazil,15 Nov 2015,Nico Rosberg,ROS,Mercedes,71,1:31:09.090
abu-dhabi,29 Nov 2015,Nico Rosberg,ROS,Mercedes,55,1:38:30.175
