Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:20.939
2,1,Ayrton Senna,SEN,McLaren Honda,1:21.618
3,6,Riccardo Patrese,PAT,Williams Renault,1:22.109
4,2,Gerhard Berger,BER,McLaren Honda,1:22.476
5,27,Alain Prost,PRO,Ferrari,1:22.478
5,14,Olivier Grouillard,GRO,Fondmetal Ford,1:26.299
6,28,Jean Alesi,ALE,Ferrari,1:22.881
6,34,Nicola Larini,LAR,Lambo Lamborghini,1:28.042
7,19,Roberto Moreno,MOR,Benetton Ford,1:23.265
7,35,Eric van de Poele,VAN,Lambo Lamborghini,1:28.827
8,20,Nelson Piquet,PIQ,Benetton Ford,1:23.626
8,31,Pedro Chaves,CHA,Coloni Ford,1:29.735
9,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:24.044
10,4,Stefano Modena,MOD,Tyrrell Honda,1:24.069
11,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:24.141
12,8,Mark Blundell,BLU,Brabham Yamaha,1:24.165
13,33,Andrea de Cesaris,DEC,Jordan Ford,1:24.169
14,7,Martin Brundle,BRU,Brabham Yamaha,1:24.345
15,3,Satoru Nakajima,NAK,Tyrrell Honda,1:24.560
16,16,Ivan Capelli,CAP,Leyton House Ilmor,1:24.587
17,32,Bertrand Gachot,GAC,Jordan Ford,1:24.592
18,21,Emanuele Pirro,PIR,Dallara Judd,1:24.654
19,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:25.174
20,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:25.222
21,29,Eric Bernard,BER,Lola Ford,1:25.537
22,30,Aguri Suzuki,SUZ,Lola Ford,1:25.583
23,23,Pierluigi Martini,MAR,Minardi Ferrari,1:25.583
24,12,Johnny Herbert,HER,Lotus Judd,1:25.689
25,11,Mika Hakkinen,HAK,Lotus Judd,1:25.872
26,9,Michele Alboreto,ALB,Footwork Porsche,1:26.192
27,26,Erik Comas,COM,Ligier Lamborghini,1:26.392
28,10,Stefan Johansson,JOH,Footwork Porsche,1:26.544
29,18,Fabrizio Barbazza,BAR,AGS Ford,1:28.122
30,17,Gabriele Tarquini,TAR,AGS Ford,1:28.136
