Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Gerhard Berger,BER,McLaren Honda,1:18.751
2,5,Nigel Mansell,MAN,Williams Renault,1:18.970
3,1,Ayrton Senna,SEN,McLaren Honda,1:19.064
4,6,Riccardo Patrese,PAT,Williams Renault,1:19.643
5,19,Michael Schumacher,MSC,Benetton Ford,1:19.733
5,10,Alex Caffi,CAF,Footwork Porsche,1:24.056
6,27,Alain Prost,PRO,Ferrari,1:19.936
6,18,Fabrizio Barbazza,BAR,AGS Ford,1:24.744
7,28,Jean Alesi,ALE,Ferrari,1:20.197
7,17,Olivier Grouillard,GRO,AGS Ford,1:25.305
8,16,Ivan Capelli,CAP,Leyton House Ilmor,1:20.584
9,21,Emanuele Pirro,PIR,Dallara Judd,1:20.651
10,20,Nelson Piquet,PIQ,Benetton Ford,1:20.676
11,7,Martin Brundle,BRU,Brabham Yamaha,1:20.677
12,8,Mark Blundell,BLU,Brabham Yamaha,1:20.724
13,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:20.743
14,4,Stefano Modena,MOD,Tyrrell Honda,1:20.788
15,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:20.967
16,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:21.801
17,33,Andrea de Cesaris,DEC,Jordan Ford,1:21.865
18,3,Satoru Nakajima,NAK,Tyrrell Honda,1:22.114
19,23,Pierluigi Martini,MAR,Minardi Ferrari,1:22.510
20,32,Alessandro Zanardi,ZAN,Jordan Ford,1:22.580
21,11,Mika Hakkinen,HAK,Lotus Judd,1:22.646
22,14,Gabriele Tarquini,TAR,Fondmetal Ford,1:22.837
23,29,Eric Bernard,BER,Lola Ford,1:22.944
24,9,Michele Alboreto,ALB,Footwork Porsche,1:23.145
25,26,Erik Comas,COM,Ligier Lamborghini,1:23.359
26,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:23.553
27,30,Aguri Suzuki,SUZ,Lola Ford,1:24.211
28,34,Nicola Larini,LAR,Lambo Lamborghini,1:25.330
29,12,Michael Bartels,BAR,Lotus Judd,1:25.392
30,35,Eric van de Poele,VAN,Lambo Lamborghini,1:27.501
