Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Riccardo Patrese,PAT,Williams Renault,1:13.001
2,2,Gerhard Berger,BER,McLaren Honda,1:13.221
3,1,Ayrton Senna,SEN,McLaren Honda,1:13.444
4,5,Nigel Mansell,MAN,Williams Renault,1:13.667
5,27,Alain Prost,PRO,Ferrari,1:14.352
5,18,Fabrizio Barbazza,BAR,AGS Ford,1:19.292
6,28,Jean Alesi,ALE,Ferrari,1:14.852
6,14,Olivier Grouillard,GRO,Fondmetal Ford,1:19.500
7,15,Mauricio Gugelmin,GUG,Leyton House Ilmor,1:15.266
7,10,Alex Caffi,CAF,Footwork Porsche,1:19.521
8,23,Pierluigi Martini,MAR,Minardi Ferrari,1:15.394
8,31,Pedro Chaves,CHA,Coloni Ford,1:23.858
9,16,Ivan Capelli,CAP,Leyton House Ilmor,1:15.481
10,19,Michael Schumacher,MSC,Benetton Ford,1:15.578
11,20,Nelson Piquet,PIQ,Benetton Ford,1:15.666
12,4,Stefano Modena,MOD,Tyrrell Honda,1:15.707
13,24,Gianni Morbidelli,MOR,Minardi Ferrari,1:15.749
14,33,Andrea de Cesaris,DEC,Jordan Ford,1:15.936
15,8,Mark Blundell,BLU,Brabham Yamaha,1:16.038
16,32,Roberto Moreno,MOR,Jordan Ford,1:16.080
17,21,Emanuele Pirro,PIR,Dallara Judd,1:16.135
18,22,Jyrki Jarvilehto,JAR,Dallara Judd,1:16.532
19,7,Martin Brundle,BRU,Brabham Yamaha,1:16.536
20,25,Thierry Boutsen,BOU,Ligier Lamborghini,1:16.757
21,3,Satoru Nakajima,NAK,Tyrrell Honda,1:16.926
22,12,Johnny Herbert,HER,Lotus Judd,1:17.015
23,26,Erik Comas,COM,Ligier Lamborghini,1:17.226
24,9,Michele Alboreto,ALB,Footwork Porsche,1:17.330
25,30,Aguri Suzuki,SUZ,Lola Ford,1:17.434
26,11,Mika Hakkinen,HAK,Lotus Judd,1:17.714
27,29,Eric Bernard,BER,Lola Ford,1:17.825
28,17,Gabriele Tarquini,TAR,AGS Ford,1:18.022
29,34,Nicola Larini,LAR,Lambo Lamborghini,1:18.139
30,35,Eric van de Poele,VAN,Lambo Lamborghini,1:18.266
