Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:23.322,1:22.800,1:22.109,20
2,44,Lewis Hamilton,HAM,Mercedes,1:22.845,1:23.145,1:22.480,19
3,4,Lando Norris,NOR,McLaren Mercedes,1:23.553,1:23.256,1:22.931,20
4,11,Sergio Perez,PER,Red Bull Racing Honda,1:23.350,1:23.135,1:22.947,24
5,55,Carlos Sainz,SAI,Ferrari,1:23.624,1:23.174,1:22.992,22
6,77,Valtteri Bottas,BOT,Mercedes,1:23.117,1:23.246,1:23.036,20
7,16,Charles Leclerc,LEC,Ferrari,1:23.467,1:23.202,1:23.122,23
8,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:23.428,1:23.404,1:23.220,22
9,31,Esteban Ocon,OCO,Alpine Renault,1:23.764,1:23.420,1:23.389,20
10,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:23.829,1:23.448,1:23.409,19
11,14,Fernando Alonso,ALO,Alpine Renault,1:23.846,1:23.460,DNQ,12
12,10,Pierre Gasly,GAS,AlphaTauri Honda,1:23.489,1:24.043,DNQ,16
13,18,Lance Stroll,STR,Aston Martin Mercedes,1:24.061,1:24.066,DNQ,17
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:24.118,1:24.251,DNQ,17
15,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:24.225,1:24.305,DNQ,18
16,6,Nicholas Latifi,LAT,Williams Mercedes,1:24.338,DNQ,DNQ,8
17,63,George Russell,RUS,Williams Mercedes,1:24.423,DNQ,DNQ,7
18,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:24.779,DNQ,DNQ,8
19,47,Mick Schumacher,MSC,Haas Ferrari,1:24.906,DNQ,DNQ,9
20,9,Nikita Mazepin,MAZ,Haas Ferrari,1:25.685,DNQ,DNQ,9
