Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,4,Lando Norris,NOR,McLaren Mercedes,1:47.238,1:45.827,1:41.993,23
2,55,Carlos Sainz,SAI,Ferrari,1:47.924,1:46.521,1:42.510,25
3,63,George Russell,RUS,Williams Mercedes,1:48.303,1:46.435,1:42.983,26
4,44,Lewis Hamilton,HAM,Mercedes,1:45.992,1:45.129,1:44.050,24
5,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:48.345,1:46.361,1:44.156,23
6,14,Fernando Alonso,ALO,Alpine Renault,1:47.877,1:45.514,1:44.204,25
7,77,Valtteri Bottas,BOT,Mercedes,1:46.396,1:45.306,1:44.710,24
8,18,Lance Stroll,STR,Aston Martin Mercedes,1:48.322,1:46.360,1:44.956,23
9,11,Sergio Perez,PER,Red Bull Racing Honda,1:46.455,1:45.834,1:45.337,24
10,31,Esteban Ocon,OCO,Alpine Renault,1:48.099,1:46.070,1:45.865,25
11,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:47.205,1:46.573,DNQ,18
12,10,Pierre Gasly,GAS,AlphaTauri Honda,1:47.828,1:46.641,DNQ,18
13,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:48.854,1:46.751,DNQ,20
14,6,Nicholas Latifi,LAT,Williams Mercedes,1:48.252,DNS,DNQ,12
15,16,Charles Leclerc,LEC,Ferrari,1:48.470,DNQ,DNQ,10
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:49.586,DNQ,DNQ,10
17,47,Mick Schumacher,MSC,Haas Ferrari,1:49.830,DNQ,DNQ,10
18,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:51.023,DNQ,DNQ,9
19,9,Nikita Mazepin,MAZ,Haas Ferrari,1:53.764,DNQ,DNQ,10
20,33,Max Verstappen,VER,Red Bull Racing Honda,DNF,DNQ,DNQ,2
