Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
NC,44,Lewis Hamilton,HAM,Mercedes,1:08.733,1:08.068,1:07.934,23
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:09.329,1:08.499,1:08.372,17
2,77,Valtteri Bottas,BOT,Mercedes,1:09.040,1:08.426,1:08.469,23
3,11,Sergio Perez,PER,Red Bull Racing Honda,1:09.172,1:08.973,1:08.483,22
4,10,Pierre Gasly,GAS,AlphaTauri Honda,1:09.347,1:08.903,1:08.777,18
5,55,Carlos Sainz,SAI,Ferrari,1:09.046,1:09.031,1:08.826,19
6,16,Charles Leclerc,LEC,Ferrari,1:09.155,1:08.859,1:08.960,22
7,4,Lando Norris,NOR,McLaren Mercedes,1:09.365,1:09.030,1:08.980,22
8,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:09.374,1:09.093,1:09.039,22
9,14,Fernando Alonso,ALO,Alpine Renault,1:09.391,1:09.137,1:09.113,19
10,31,Esteban Ocon,OCO,Alpine Renault,1:09.430,1:09.189,DNQ,14
11,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:09.451,1:09.399,DNQ,15
12,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:09.350,1:09.483,DNQ,9
13,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:09.598,1:09.503,DNQ,15
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:09.342,1:10.227,DNQ,14
15,18,Lance Stroll,STR,Aston Martin Mercedes,1:09.663,DNQ,DNQ,9
16,6,Nicholas Latifi,LAT,Williams Mercedes,1:09.897,DNQ,DNQ,9
17,63,George Russell,RUS,Williams Mercedes,1:09.953,DNQ,DNQ,10
18,47,Mick Schumacher,MSC,Haas Ferrari,1:10.329,DNQ,DNQ,11
19,9,Nikita Mazepin,MAZ,Haas Ferrari,1:10.589,DNQ,DNQ,10
