Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,58,1:24:15.757,10
2,2,Rubens Barrichello,BAR,Ferrari,58,+13.605s,8
3,8,Fernando Alonso,ALO,Renault,58,+34.673s,6
4,4,Ralf Schumacher,RSC,Williams BMW,58,+60.423s,5
5,3,Juan Pablo Montoya,MOY,Williams BMW,58,+68.536s,4
6,9,Jenson Button,BUT,BAR Honda,58,+70.598s,3
7,7,Jarno Trulli,TRU,Renault,57,+1 lap,2
8,5,David Coulthard,COU,McLaren Mercedes,57,+1 lap,1
9,10,Takuma Sato,SAT,BAR Honda,57,+1 lap,0
10,11,Giancarlo Fisichella,FIS,Sauber Petronas,57,+1 lap,0
11,15,Christian Klien,KLI,Jaguar Cosworth,56,+2 laps,0
12,16,Cristiano da Matta,DAM,Toyota,56,+2 laps,0
13,17,Olivier Panis,PAN,Toyota,56,+2 laps,0
14,19,Giorgio Pantano,PAN,Jordan Ford,55,+3 laps,0
NC,12,Felipe Massa,MAS,Sauber Petronas,44,DNF,0
NC,18,Nick Heidfeld,HEI,Jordan Ford,43,DNF,0
NC,20,Gianmaria Bruni,BRU,Minardi Cosworth,43,+15 laps,0
NC,14,Mark Webber,WEB,Jaguar Cosworth,29,DNF,0
NC,21,Zsolt Baumgartner,BAU,Minardi Cosworth,13,DNF,0
NC,6,Kimi Räikkönen,RAI,McLaren Mercedes,9,DNF,0
