Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,07 Mar 2004,Michael Schumacher,MSC,Ferrari,58,1:24:15.757
malaysia,21 Mar 2004,Michael Schumacher,MSC,Ferrari,56,1:31:07.490
bahrain,04 Apr 2004,Michael Schumacher,MSC,Ferrari,57,1:28:34.875
san-marino,25 Apr 2004,Michael Schumacher,MSC,Ferrari,62,1:26:19.670
spain,09 May 2004,Michael Schumacher,MSC,Ferrari,66,1:27:32.841
monaco,23 May 2004,Jarno Trulli,TRU,Renault,77,1:45:46.601
europe,30 May 2004,Michael Schumacher,MSC,Ferrari,60,1:32:35.101
canada,13 Jun 2004,Michael Schumacher,MSC,Ferrari,70,1:28:24.803
united-states,20 Jun 2004,Michael Schumacher,MSC,Ferrari,73,1:40:29.914
france,04 Jul 2004,Michael Schumacher,MSC,Ferrari,70,1:30:18.133
great-britain,11 Jul 2004,Michael Schumacher,MSC,Ferrari,60,1:24:42.700
germany,25 Jul 2004,Michael Schumacher,MSC,Ferrari,66,1:23:54.848
hungary,15 Aug 2004,Michael Schumacher,MSC,Ferrari,70,1:35:26.131
belgium,29 Aug 2004,Kimi Räikkönen,RAI,McLaren Mercedes,44,1:32:35.274
italy,12 Sep 2004,Rubens Barrichello,BAR,Ferrari,53,1:15:18.448
china,26 Sep 2004,Rubens Barrichello,BAR,Ferrari,56,1:29:12.420
japan,10 Oct 2004,Michael Schumacher,MSC,Ferrari,53,1:24:26.985
brazil,24 Oct 2004,Juan Pablo Montoya,MOY,Williams BMW,71,1:28:01.451
