Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,56,1:31:07.490,10
2,3,Juan Pablo Montoya,MOY,Williams BMW,56,+5.022s,8
3,9,Jenson Button,BUT,BAR Honda,56,+11.568s,6
4,2,Rubens Barrichello,BAR,Ferrari,56,+13.616s,5
5,7,Jarno Trulli,TRU,Renault,56,+37.360s,4
6,5,David Coulthard,COU,McLaren Mercedes,56,+53.098s,3
7,8,Fernando Alonso,ALO,Renault,56,+67.877s,2
8,12,Felipe Massa,MAS,Sauber Petronas,55,+1 lap,1
9,16,Cristiano da Matta,DAM,Toyota,55,+1 lap,0
10,15,Christian Klien,KLI,Jaguar Cosworth,55,+1 lap,0
11,11,Giancarlo Fisichella,FIS,Sauber Petronas,55,+1 lap,0
12,17,Olivier Panis,PAN,Toyota,55,+1 lap,0
13,19,Giorgio Pantano,PAN,Jordan Ford,54,+2 laps,0
14,20,Gianmaria Bruni,BRU,Minardi Cosworth,53,+3 laps,0
15,10,Takuma Sato,SAT,BAR Honda,52,DNF,0
16,21,Zsolt Baumgartner,BAU,Minardi Cosworth,52,+4 laps,0
NC,6,Kimi Räikkönen,RAI,McLaren Mercedes,40,DNF,0
NC,18,Nick Heidfeld,HEI,Jordan Ford,34,DNF,0
NC,4,Ralf Schumacher,RSC,Williams BMW,27,DNF,0
NC,14,Mark Webber,WEB,Jaguar Cosworth,23,DNF,0
