Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,70,1:37:25.552,10
2,1,Michael Schumacher,MSC,Ferrari,70,+35.581s,8
3,17,Ralf Schumacher,RSC,Toyota,70,+36.129s,6
4,16,Jarno Trulli,TRU,Toyota,70,+54.221s,5
5,3,Jenson Button,BUT,BAR Honda,70,+58.832s,4
6,8,Nick Heidfeld,HEI,Williams BMW,70,+68.375s,3
7,7,Mark Webber,WEB,Williams BMW,69,+1 lap,2
8,4,Takuma Sato,SAT,BAR Honda,69,+1 lap,1
9,6,Giancarlo Fisichella,FIS,Renault,69,+1 lap,0
10,2,Rubens Barrichello,BAR,Ferrari,69,+1 lap,0
11,5,Fernando Alonso,ALO,Renault,69,+1 lap,0
12,19,Narain Karthikeyan,KAR,Jordan Toyota,67,+3 laps,0
13,18,Tiago Monteiro,MON,Jordan Toyota,66,+4 laps,0
14,12,Felipe Massa,MAS,Sauber Petronas,63,+7 laps,0
NC,21,Christijan Albers,ALB,Minardi Cosworth,59,+11 laps,0
NC,11,Jacques Villeneuve,VIL,Sauber Petronas,56,DNF,0
NC,10,Juan Pablo Montoya,MOY,McLaren Mercedes,41,DNF,0
NC,20,Robert Doornbos,DOO,Minardi Cosworth,26,DNF,0
NC,15,Christian Klien,KLI,RBR Cosworth,0,DNF,0
NC,14,David Coulthard,COU,RBR Cosworth,0,DNF,0
