Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,44,1:30:01.295,10
2,5,Fernando Alonso,ALO,Renault,44,+28.394s,8
3,3,Jenson Button,BUT,BAR Honda,44,+32.077s,6
4,7,Mark Webber,WEB,Williams BMW,44,+69.167s,5
5,2,Rubens Barrichello,BAR,Ferrari,44,+78.136s,4
6,11,Jacques Villeneuve,VIL,Sauber Petronas,44,+87.435s,3
7,17,Ralf Schumacher,RSC,Toyota,44,+87.574s,2
8,18,Tiago Monteiro,MON,Jordan Toyota,43,+1 lap,1
9,15,Christian Klien,KLI,RBR Cosworth,43,+1 lap,0
10,12,Felipe Massa,MAS,Sauber Petronas,43,+1 lap,0
11,19,Narain Karthikeyan,KAR,Jordan Toyota,43,+1 lap,0
12,21,Christijan Albers,ALB,Minardi Cosworth,42,+2 laps,0
13,20,Robert Doornbos,DOO,Minardi Cosworth,41,+3 laps,0
14,10,Juan Pablo Montoya,MOY,McLaren Mercedes,40,DNF,0
15,8,Antonio Pizzonia,PIZ,Williams BMW,39,DNF,0
NC,16,Jarno Trulli,TRU,Toyota,34,DNF,0
NC,14,David Coulthard,COU,RBR Cosworth,18,DNF,0
NC,1,Michael Schumacher,MSC,Ferrari,13,DNF,0
NC,4,Takuma Sato,SAT,BAR Honda,13,DNF,0
NC,6,Giancarlo Fisichella,FIS,Renault,10,DNF,0
