Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,06 Mar 2005,Giancarlo Fisichella,FIS,Renault,57,1:24:17.336
malaysia,20 Mar 2005,Fernando Alonso,ALO,Renault,56,1:31:33.736
bahrain,03 Apr 2005,Fernando Alonso,ALO,Renault,57,1:29:18.531
san-marino,24 Apr 2005,Fernando Alonso,ALO,Renault,62,1:27:41.921
spain,08 May 2005,Kimi Räikkönen,RAI,McLaren Mercedes,66,1:27:16.830
monaco,22 May 2005,Kimi Räikkönen,RAI,McLaren Mercedes,78,1:45:15.556
europe,29 May 2005,Fernando Alonso,ALO,Renault,59,1:31:46.648
canada,12 Jun 2005,Kimi Räikkönen,RAI,McLaren Mercedes,70,1:32:09.290
united-states,19 Jun 2005,Michael Schumacher,MSC,Ferrari,73,1:29:43.181
france,03 Jul 2005,Fernando Alonso,ALO,Renault,70,1:31:22.233
great-britain,10 Jul 2005,Juan Pablo Montoya,MOY,McLaren Mercedes,60,1:24:29.588
germany,24 Jul 2005,Fernando Alonso,ALO,Renault,67,1:26:28.599
hungary,31 Jul 2005,Kimi Räikkönen,RAI,McLaren Mercedes,70,1:37:25.552
turkey,21 Aug 2005,Kimi Räikkönen,RAI,McLaren Mercedes,58,1:24:34.454
italy,04 Sep 2005,Juan Pablo Montoya,MOY,McLaren Mercedes,53,1:14:28.659
belgium,11 Sep 2005,Kimi Räikkönen,RAI,McLaren Mercedes,44,1:30:01.295
brazil,25 Sep 2005,Juan Pablo Montoya,MOY,McLaren Mercedes,71,1:29:20.574
japan,09 Oct 2005,Kimi Räikkönen,RAI,McLaren Mercedes,53,1:29:02.212
china,16 Oct 2005,Fernando Alonso,ALO,Renault,56,1:39:53.618
