Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,6,Kimi Räikkönen,RAI,McLaren Mercedes,56,1:32:22.195,10
2,2,Rubens Barrichello,BAR,Ferrari,56,+39.286s,8
3,8,Fernando Alonso,ALO,Renault,56,+64.007s,6
4,4,Ralf Schumacher,RSC,Williams BMW,56,+88.026s,5
5,7,Jarno Trulli,TRU,Renault,55,+1 lap,4
6,1,Michael Schumacher,MSC,Ferrari,55,+1 lap,3
7,17,Jenson Button,BUT,BAR Honda,55,+1 lap,2
8,9,Nick Heidfeld,HEI,Sauber Petronas,55,+1 lap,1
9,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,55,+1 lap,0
10,12,Ralph Firman,FIR,Jordan Ford,55,+1 lap,0
11,21,Cristiano da Matta,DAM,Toyota,55,+1 lap,0
12,3,Juan Pablo Montoya,MOY,Williams BMW,53,+3 laps,0
13,19,Jos Verstappen,VER,Minardi Cosworth,52,+4 laps,0
NC,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,42,DNF,0
NC,18,Justin Wilson,WIL,Minardi Cosworth,41,DNF,0
NC,14,Mark Webber,WEB,Jaguar Cosworth,35,DNF,0
NC,20,Olivier Panis,PAN,Toyota,12,DNF,0
NC,5,David Coulthard,COU,McLaren Mercedes,2,DNF,0
NC,11,Giancarlo Fisichella,FIS,Jordan Ford,0,DNF,0
NC,16,Jacques Villeneuve,VIL,BAR Honda,0,DNF,0
