Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,David Coulthard,COU,McLaren Mercedes,58,1:34:42.124,10
2,3,Juan Pablo Montoya,MOY,Williams BMW,58,+8.675s,8
3,6,Kimi Räikkönen,RAI,McLaren Mercedes,58,+9.192s,6
4,1,Michael Schumacher,MSC,Ferrari,58,+9.482s,5
5,7,Jarno Trulli,TRU,Renault,58,+38.801s,4
6,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,58,+43.928s,3
7,8,Fernando Alonso,ALO,Renault,58,+45.074s,2
8,4,Ralf Schumacher,RSC,Williams BMW,58,+45.745s,1
9,16,Jacques Villeneuve,VIL,BAR Honda,58,+65.536s,0
10,17,Jenson Button,BUT,BAR Honda,58,+65.974s,0
11,19,Jos Verstappen,VER,Minardi Cosworth,57,+1 lap,0
12,11,Giancarlo Fisichella,FIS,Jordan Ford,52,DNF,0
13,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,52,DNF,0
NC,20,Olivier Panis,PAN,Toyota,31,DNF,0
NC,9,Nick Heidfeld,HEI,Sauber Petronas,20,DNF,0
NC,18,Justin Wilson,WIL,Minardi Cosworth,16,DNF,0
NC,14,Mark Webber,WEB,Jaguar Cosworth,15,DNF,0
NC,21,Cristiano da Matta,DAM,Toyota,7,DNF,0
NC,12,Ralph Firman,FIR,Jordan Ford,6,DNF,0
NC,2,Rubens Barrichello,BAR,Ferrari,5,DNF,0
