Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,Rubens Barrichello,BAR,Ferrari,53,1:25:11.743,10
2,6,Kimi Räikkönen,RAI,McLaren Mercedes,53,+11.085s,8
3,5,David Coulthard,COU,McLaren Mercedes,53,+11.614s,6
4,17,Jenson Button,BUT,BAR Honda,53,+33.106s,5
5,7,Jarno Trulli,TRU,Renault,53,+34.269s,4
6,16,Takuma Sato,SAT,BAR Honda,53,+51.692s,3
7,21,Cristiano da Matta,DAM,Toyota,53,+56.794s,2
8,1,Michael Schumacher,MSC,Ferrari,53,+59.487s,1
9,9,Nick Heidfeld,HEI,Sauber Petronas,53,+60.159s,0
10,20,Olivier Panis,PAN,Toyota,53,+61.844s,0
11,14,Mark Webber,WEB,Jaguar Cosworth,53,+71.005s,0
12,4,Ralf Schumacher,RSC,Williams BMW,52,+1 lap,0
13,15,Justin Wilson,WIL,Jaguar Cosworth,52,+1 lap,0
14,12,Ralph Firman,FIR,Jordan Ford,51,+2 laps,0
15,19,Jos Verstappen,VER,Minardi Cosworth,51,+2 laps,0
16,18,Nicolas Kiesa,KIE,Minardi Cosworth,50,+3 laps,0
NC,11,Giancarlo Fisichella,FIS,Jordan Ford,33,DNF,0
NC,8,Fernando Alonso,ALO,Renault,17,DNF,0
NC,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,9,DNF,0
NC,3,Juan Pablo Montoya,MOY,Williams BMW,9,DNF,0
