Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,8,Graham Hill,HIL,BRM,100,2:41:19.500,9
2,7,Richie Ginther,GIN,BRM,99,+1 lap,6
3,11,Peter Arundell,ARU,Lotus Climax,97,+3 laps,4
4,12,Jim Clark,CLA,Lotus Climax,96,DNF,3
5,19,Jo Bonnier,BON,Cooper Climax,96,+4 laps,2
6,18,Mike Hailwood,HAI,Lotus BRM,96,+4 laps,1
7,16,Bob Anderson,AND,Brabham Climax,86,DNF,0
8,24,Jo Siffert,SIF,Lotus BRM,78,+22 laps,0
9,9,Phil Hill,HIL,Cooper Climax,70,DNF,0
10,20,Lorenzo Bandini,BAN,Ferrari,67,DNF,0
NC,6,Dan Gurney,GUR,Brabham Climax,61,DNF,0
NC,4,Maurice Trintignant,TRI,BRM,53,DNF,0
NC,5,Jack Brabham,BRA,Brabham Climax,29,DNF,0
NC,10,Bruce McLaren,MCL,Cooper Climax,17,DNF,0
NC,21,John Surtees,SUR,Ferrari,14,DNF,0
NC,15,Trevor Taylor,TAY,BRP BRM,7,DNF,0
