Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
monaco,10 May 1964,Graham Hill,HIL,BRM,100,2:41:19.500
netherlands,24 May 1964,Jim Clark,CLA,Lotus Climax,80,2:07:35.400
belgium,14 Jun 1964,Jim Clark,CLA,Lotus Climax,32,2:06:40.500
france,28 Jun 1964,Dan Gurney,GUR,Brabham Climax,57,2:07:49.100
great-britain,11 Jul 1964,Jim Clark,CLA,Lotus Climax,80,2:15:07.000
germany,02 Aug 1964,John Surtees,SUR,Ferrari,15,2:12:04.800
austria,23 Aug 1964,Lorenzo Bandini,BAN,Ferrari,105,2:06:18.230
italy,06 Sep 1964,John Surtees,SUR,Ferrari,78,2:10:51.800
united-states,04 Oct 1964,Graham Hill,HIL,BRM,110,2:16:38.000
mexico,25 Oct 1964,Dan Gurney,GUR,Brabham Climax,65,2:09:50.320
