Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Benetton Renault,1:27.661,21
2,5,Damon Hill,HIL,Williams Renault,1:28.039,23
3,6,David Coulthard,COU,Williams Renault,1:28.091,24
4,28,Gerhard Berger,BER,Ferrari,1:28.189,21
5,27,Jean Alesi,ALE,Ferrari,1:28.474,20
6,2,Johnny Herbert,HER,Benetton Renault,1:28.498,21
7,8,Mika Hakkinen,HAK,McLaren Mercedes,1:28.910,21
8,15,Eddie Irvine,IRV,Jordan Peugeot,1:29.021,21
9,14,Rubens Barrichello,BAR,Jordan Peugeot,1:29.171,22
10,7,Mark Blundell,BLU,McLaren Mercedes,1:29.641,24
11,26,Olivier Panis,PAN,Ligier Mugen Honda,1:29.809,21
12,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:30.017,23
13,9,Gianni Morbidelli,MOR,Footwork Hart,1:30.159,23
14,25,Martin Brundle,BRU,Ligier Mugen Honda,1:30.255,16
15,4,Mika Salo,SAL,Tyrrell Yamaha,1:30.657,23
16,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:31.382,18
17,23,Pierluigi Martini,MAR,Minardi Ford,1:31.445,23
18,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:31.838,24
19,24,Luca Badoer,BAD,Minardi Ford,1:31.853,23
20,16,Bertrand Gachot,GAC,Pacific Ilmor,1:32.841,24
21,17,Andrea Montermini,MON,Pacific Ilmor,1:32.894,21
22,10,Taki Inoue,INO,Footwork Hart,1:32.995,12
23,22,Roberto Moreno,MOR,Forti Ford,1:34.000,15
24,21,Pedro Diniz,DIN,Forti Ford,1:34.982,19
