Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,David Coulthard,COU,Williams Renault,1:18.738,17
2,5,Damon Hill,HIL,Williams Renault,1:18.972,21
3,1,Michael Schumacher,MSC,Benetton Renault,1:19.150,19
4,28,Gerhard Berger,BER,Ferrari,1:19.821,18
5,15,Eddie Irvine,IRV,Jordan Peugeot,1:20.488,19
6,27,Jean Alesi,ALE,Ferrari,1:20.510,15
7,2,Johnny Herbert,HER,Benetton Renault,1:20.653,20
8,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:20.749,22
9,8,Mika Hakkinen,HAK,McLaren Mercedes,1:20.866,22
10,7,Mark Blundell,BLU,McLaren Mercedes,1:20.909,21
11,14,Rubens Barrichello,BAR,Jordan Peugeot,1:21.211,23
12,25,Martin Brundle,BRU,Ligier Mugen Honda,1:21.541,19
13,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:22.059,13
14,26,Olivier Panis,PAN,Ligier Mugen Honda,1:22.062,11
15,4,Mika Salo,SAL,Tyrrell Yamaha,1:23.058,19
16,23,Pedro Lamy,LAM,Minardi Ford,1:23.328,15
17,9,Massimiliano Papis,PAP,Footwork Hart,1:23.689,16
18,24,Luca Badoer,BAD,Minardi Ford,1:23.760,15
19,3,Gabriele Tarquini,TAR,Tyrrell Yamaha,1:24.286,17
20,17,Andrea Montermini,MON,Pacific Ilmor,1:24.696,16
21,10,Taki Inoue,INO,Footwork Hart,1:24.900,13
22,21,Pedro Diniz,DIN,Forti Ford,1:25.157,19
23,22,Roberto Moreno,MOR,Forti Ford,1:26.098,20
24,16,Jean-Denis Deletraz,DEL,Pacific Ilmor,1:27.853,18
