Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Benetton Renault,1:38.023,17
2,27,Jean Alesi,ALE,Ferrari,1:38.888,16
3,8,Mika Hakkinen,HAK,McLaren Mercedes,1:38.954,16
4,5,Damon Hill,HIL,Williams Renault,1:39.032,19
5,28,Gerhard Berger,BER,Ferrari,1:39.040,15
6,6,David Coulthard,COU,Williams Renault,1:39.155,21
7,15,Eddie Irvine,IRV,Jordan Peugeot,1:39.621,15
8,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:40.010,17
9,2,Johnny Herbert,HER,Benetton Renault,1:40.349,15
10,14,Rubens Barrichello,BAR,Jordan Peugeot,1:40.381,23
11,26,Olivier Panis,PAN,Ligier Mugen Honda,1:40.838,19
12,4,Mika Salo,SAL,Tyrrell Yamaha,1:41.355,21
13,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:41.592,20
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:41.977,19
15,9,Gianni Morbidelli,MOR,Footwork Hart,1:42.059,16
16,29,Karl Wendlinger,WEN,Sauber Ford,1:42.912,21
17,23,Pedro Lamy,LAM,Minardi Ford,1:43.102,22
18,24,Luca Badoer,BAD,Minardi Ford,1:43.542,20
19,10,Taki Inoue,INO,Footwork Hart,1:44.074,21
20,17,Andrea Montermini,MON,Pacific Ilmor,1:46.097,16
21,21,Pedro Diniz,DIN,Forti Ford,1:46.654,15
22,22,Roberto Moreno,MOR,Forti Ford,1:48.267,10
23,16,Bertrand Gachot,GAC,Pacific Ilmor,1:48.289,15
24,7,Mark Blundell,BLU,McLaren Mercedes,16:42.640,1
