Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:21.952,23
2,1,Michael Schumacher,MSC,Benetton Renault,1:22.742,21
3,6,David Coulthard,COU,Williams Renault,1:23.109,23
4,28,Gerhard Berger,BER,Ferrari,1:23.220,17
5,27,Jean Alesi,ALE,Ferrari,1:23.754,12
6,8,Mika Hakkinen,HAK,McLaren Mercedes,1:23.857,22
7,2,Johnny Herbert,HER,Benetton Renault,1:23.885,22
8,25,Martin Brundle,BRU,Ligier Mugen Honda,1:24.447,18
9,15,Eddie Irvine,IRV,Jordan Peugeot,1:24.857,22
10,7,Mark Blundell,BLU,McLaren Mercedes,1:24.933,19
11,14,Rubens Barrichello,BAR,Jordan Peugeot,1:25.081,24
12,26,Olivier Panis,PAN,Ligier Mugen Honda,1:25.125,24
13,9,Gianni Morbidelli,MOR,Footwork Hart,1:25.447,22
14,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:25.661,11
15,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:25.808,23
16,24,Luca Badoer,BAD,Minardi Ford,1:25.969,24
17,4,Mika Salo,SAL,Tyrrell Yamaha,1:26.473,24
18,23,Pierluigi Martini,MAR,Minardi Ford,1:26.913,22
19,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:27.145,21
20,11,Domenico Schiattarella,SCH,Simtek Ford,1:28.337,17
21,16,Bertrand Gachot,GAC,Pacific Ilmor,1:29.039,17
22,21,Pedro Diniz,DIN,Forti Ford,1:29.244,16
23,12,Jos Verstappen,VER,Simtek Ford,1:29.391,8
24,22,Roberto Moreno,MOR,Forti Ford,1:29.608,13
25,17,Andrea Montermini,MON,Pacific Ilmor,1:30.149,12
26,10,Taki Inoue,INO,Footwork Hart,1:31.542,8
