Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,David Coulthard,COU,Williams Renault,1:20.537,19
2,5,Damon Hill,HIL,Williams Renault,1:20.905,22
3,1,Michael Schumacher,MSC,Benetton Renault,1:21.301,20
4,28,Gerhard Berger,BER,Ferrari,1:21.970,17
5,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:22.226,19
6,2,Johnny Herbert,HER,Benetton Renault,1:22.322,23
7,27,Jean Alesi,ALE,Ferrari,1:22.391,18
8,14,Rubens Barrichello,BAR,Jordan Peugeot,1:22.538,19
9,25,Martin Brundle,BRU,Ligier Mugen Honda,1:22.588,23
10,15,Eddie Irvine,IRV,Jordan Peugeot,1:22.831,18
11,26,Olivier Panis,PAN,Ligier Mugen Honda,1:22.904,22
12,7,Mark Blundell,BLU,McLaren Mercedes,1:22.914,19
13,8,Mika Hakkinen,HAK,McLaren Mercedes,1:23.064,19
14,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:23.934,12
15,4,Mika Salo,SAL,Tyrrell Yamaha,1:23.936,23
16,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:24.287,19
17,23,Pedro Lamy,LAM,Minardi Ford,1:24.657,18
18,24,Luca Badoer,BAD,Minardi Ford,1:24.778,20
19,10,Taki Inoue,INO,Footwork Hart,1:24.883,22
20,9,Massimiliano Papis,PAP,Footwork Hart,1:25.179,24
21,17,Andrea Montermini,MON,Pacific Ilmor,1:26.172,15
22,21,Pedro Diniz,DIN,Forti Ford,1:27.292,16
23,22,Roberto Moreno,MOR,Forti Ford,1:27.523,21
24,16,Jean-Denis Deletraz,DEL,Pacific Ilmor,1:32.769,5
