Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:44.385,22
2,1,Michael Schumacher,MSC,Benetton Renault,1:44.465,23
3,6,David Coulthard,COU,Williams Renault,1:44.540,23
4,28,Gerhard Berger,BER,Ferrari,1:45.553,23
5,14,Rubens Barrichello,BAR,Jordan Peugeot,1:45.765,21
6,15,Eddie Irvine,IRV,Jordan Peugeot,1:45.846,23
7,8,Mika Hakkinen,HAK,McLaren Mercedes,1:45.849,19
8,7,Mark Blundell,BLU,McLaren Mercedes,1:46.221,19
9,2,Johnny Herbert,HER,Benetton Renault,1:46.315,21
10,27,Jean Alesi,ALE,Ferrari,1:46.356,23
11,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:46.801,21
12,26,Olivier Panis,PAN,Ligier Mugen Honda,1:47.372,23
13,4,Mika Salo,SAL,Tyrrell Yamaha,1:47.507,24
14,29,Jean-Christophe Boullion,BOU,Sauber Ford,1:47.636,22
15,9,Massimiliano Papis,PAP,Footwork Hart,1:48.093,24
16,24,Luca Badoer,BAD,Minardi Ford,1:49.302,23
17,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:49.402,17
18,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:49.716,15
19,10,Taki Inoue,INO,Footwork Hart,1:49.892,24
20,23,Pierluigi Martini,MAR,Minardi Ford,1:49.990,24
21,21,Pedro Diniz,DIN,Forti Ford,1:52.961,24
22,22,Roberto Moreno,MOR,Forti Ford,1:53.405,24
23,17,Andrea Montermini,MON,Pacific Ilmor,1:53.492,5
24,16,Giovanni Lavaggi,LAV,Pacific Ilmor,1:54.625,18
