Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:20.081,24
2,1,Michael Schumacher,MSC,Benetton Renault,1:20.382,14
3,6,David Coulthard,COU,Williams Renault,1:20.422,21
4,2,Johnny Herbert,HER,Benetton Renault,1:20.888,12
5,28,Gerhard Berger,BER,Ferrari,1:20.906,17
6,27,Jean Alesi,ALE,Ferrari,1:21.041,22
7,8,Mika Hakkinen,HAK,McLaren Mercedes,1:21.399,23
8,15,Eddie Irvine,IRV,Jordan Peugeot,1:21.749,19
9,7,Mark Blundell,BLU,McLaren Mercedes,1:21.779,21
10,26,Olivier Panis,PAN,Ligier Mugen Honda,1:21.914,23
11,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:22.325,16
12,4,Mika Salo,SAL,Tyrrell Yamaha,1:22.416,18
13,9,Gianni Morbidelli,MOR,Footwork Hart,1:22.468,21
14,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:22.872,18
15,25,Aguri Suzuki,SUZ,Ligier Mugen Honda,1:22.971,22
16,14,Rubens Barrichello,BAR,Jordan Peugeot,1:22.975,13
17,23,Pierluigi Martini,MAR,Minardi Ford,1:24.383,13
18,24,Luca Badoer,BAD,Minardi Ford,1:24.443,16
19,29,Karl Wendlinger,WEN,Sauber Ford,1:24.723,22
20,16,Bertrand Gachot,GAC,Pacific Ilmor,1:25.127,22
21,10,Taki Inoue,INO,Footwork Hart,1:25.225,24
22,17,Andrea Montermini,MON,Pacific Ilmor,1:25.886,17
23,22,Roberto Moreno,MOR,Forti Ford,1:26.269,24
24,12,Jos Verstappen,VER,Simtek Ford,1:26.323,10
25,21,Pedro Diniz,DIN,Forti Ford,1:27.792,7
26,11,Domenico Schiattarella,SCH,Simtek Ford,1:28.106,2
