Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:15.505,24
2,6,David Coulthard,COU,Williams Renault,1:15.628,23
3,1,Michael Schumacher,MSC,Benetton Renault,1:15.839,21
4,28,Gerhard Berger,BER,Ferrari,1:15.932,18
5,27,Jean Alesi,ALE,Ferrari,1:16.305,14
6,30,Heinz-Harald Frentzen,FRE,Sauber Ford,1:16.647,20
7,14,Rubens Barrichello,BAR,Jordan Peugeot,1:16.725,23
8,2,Johnny Herbert,HER,Benetton Renault,1:16.950,17
9,15,Eddie Irvine,IRV,Jordan Peugeot,1:17.116,23
10,7,Mark Blundell,BLU,McLaren Mercedes,1:17.348,19
11,25,Martin Brundle,BRU,Ligier Mugen Honda,1:17.624,23
12,26,Olivier Panis,PAN,Ligier Mugen Honda,1:18.033,21
13,9,Gianni Morbidelli,MOR,Footwork Hart,1:18.391,24
14,4,Mika Salo,SAL,Tyrrell Yamaha,1:18.604,23
15,24,Luca Badoer,BAD,Minardi Ford,1:18.810,24
16,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:18.828,23
17,23,Pedro Lamy,LAM,Minardi Ford,1:18.875,24
18,29,Karl Wendlinger,WEN,Sauber Ford,1:19.561,12
19,10,Taki Inoue,INO,Footwork Hart,1:19.677,17
20,22,Roberto Moreno,MOR,Forti Ford,1:20.657,24
21,21,Pedro Diniz,DIN,Forti Ford,1:20.878,23
22,17,Andrea Montermini,MON,Pacific Ilmor,1:21.659,11
23,16,Bertrand Gachot,GAC,Pacific Ilmor,1:21.998,12
24,8,Mika Hakkinen,HAK,McLaren Mercedes,1:37.998,2
