Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,Ralf Schumacher,RSC,Williams BMW,1:12.275,6
2,9,Jenson Button,BUT,BAR Honda,1:12.341,6
3,7,Jarno Trulli,TRU,Renault,1:13.023,6
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:13.072,6
5,8,Fernando Alonso,ALO,Renault,1:13.308,6
6,1,Michael Schumacher,MSC,Ferrari,1:13.355,6
7,2,Rubens Barrichello,BAR,Ferrari,1:13.562,6
8,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:13.595,6
9,5,David Coulthard,COU,McLaren Mercedes,1:13.681,6
10,15,Christian Klien,KLI,Jaguar Cosworth,1:14.532,6
11,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:14.674,6
12,16,Cristiano da Matta,DAM,Toyota,1:14.851,6
13,17,Olivier Panis,PAN,Toyota,1:14.891,6
14,14,Mark Webber,WEB,Jaguar Cosworth,1:15.148,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:15.321,6
16,19,Timo Glock,GLO,Jordan Ford,1:16.323,6
17,10,Takuma Sato,SAT,BAR Honda,1:17.004,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:17.064,6
19,12,Felipe Massa,MAS,Sauber Petronas,1:14.392,4
20,20,Gianmaria Bruni,BRU,Minardi Cosworth,No Time,2
