Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:33.074,6
2,14,Mark Webber,WEB,Jaguar Cosworth,1:33.715,6
3,2,Rubens Barrichello,BAR,Ferrari,1:33.756,6
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:34.054,7
5,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:34.164,6
6,9,Jenson Button,BUT,BAR Honda,1:34.221,6
7,4,Ralf Schumacher,RSC,Williams BMW,1:34.235,6
8,7,Jarno Trulli,TRU,Renault,1:34.413,6
9,5,David Coulthard,COU,McLaren Mercedes,1:34.602,6
10,16,Cristiano da Matta,DAM,Toyota,1:34.917,6
11,12,Felipe Massa,MAS,Sauber Petronas,1:35.039,6
12,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:35.061,6
13,15,Christian Klien,KLI,Jaguar Cosworth,1:35.158,6
14,17,Olivier Panis,PAN,Toyota,1:35.617,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:36.569,6
16,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:38.577,6
17,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:39.272,6
18,19,Giorgio Pantano,PAN,Jordan Ford,1:39.902,3
19,8,Fernando Alonso,ALO,Renault,1:33.193,5
20,10,Takuma Sato,SAT,BAR Honda,1:34.971,5
