Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:19.146,6
2,2,Rubens Barrichello,BAR,Ferrari,1:19.323,6
3,10,Takuma Sato,SAT,BAR Honda,1:19.693,6
4,9,Jenson Button,BUT,BAR Honda,1:19.700,6
5,8,Fernando Alonso,ALO,Renault,1:19.996,6
6,4,Antonio Pizzonia,PIZ,Williams BMW,1:20.170,6
7,3,Juan Pablo Montoya,MOY,Williams BMW,1:20.199,6
8,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:20.324,6
9,7,Jarno Trulli,TRU,Renault,1:20.411,6
10,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:20.570,6
11,14,Mark Webber,WEB,Jaguar Cosworth,1:20.730,6
12,5,David Coulthard,COU,McLaren Mercedes,1:20.897,6
13,17,Olivier Panis,PAN,Toyota,1:21.068,6
14,15,Christian Klien,KLI,Jaguar Cosworth,1:21.118,6
15,16,Ricardo Zonta,ZON,Toyota,1:21.135,6
16,18,Nick Heidfeld,HEI,Jordan Ford,1:22.180,6
17,19,Giorgio Pantano,PAN,Jordan Ford,1:22.356,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:24.329,6
19,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:24.679,6
20,12,Felipe Massa,MAS,Sauber Petronas,1:19.658,3
