Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:18.233,6
2,2,Rubens Barrichello,BAR,Ferrari,1:18.305,6
3,9,Jenson Button,BUT,BAR Honda,1:18.580,6
4,1,Michael Schumacher,MSC,Ferrari,1:18.710,6
5,7,Jarno Trulli,TRU,Renault,1:18.715,6
6,8,Fernando Alonso,ALO,Renault,1:18.811,6
7,5,David Coulthard,COU,McLaren Mercedes,1:19.148,6
8,3,Juan Pablo Montoya,MOY,Williams BMW,1:19.378,6
9,10,Takuma Sato,SAT,BAR Honda,1:19.688,6
10,14,Mark Webber,WEB,Jaguar Cosworth,1:20.004,6
11,12,Felipe Massa,MAS,Sauber Petronas,1:20.202,6
12,4,Marc Gene,GEN,Williams BMW,1:20.335,6
13,16,Cristiano da Matta,DAM,Toyota,1:20.545,6
14,15,Christian Klien,KLI,Jaguar Cosworth,1:21.559,6
15,19,Giorgio Pantano,PAN,Jordan Ford,1:22.458,6
16,18,Nick Heidfeld,HEI,Jordan Ford,1:22.677,5
17,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:23.437,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:24.117,6
19,17,Olivier Panis,PAN,Toyota,1:19.697,6
20,11,Giancarlo Fisichella,FIS,Sauber Petronas,No Time,2
