Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:13.306,6
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:13.668,6
3,9,Jenson Button,BUT,BAR Honda,1:13.674,6
4,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:13.690,6
5,5,David Coulthard,COU,McLaren Mercedes,1:13.821,6
6,8,Fernando Alonso,ALO,Renault,1:13.874,6
7,7,Jarno Trulli,TRU,Renault,1:14.134,6
8,2,Rubens Barrichello,BAR,Ferrari,1:14.278,6
9,10,Takuma Sato,SAT,BAR Honda,1:14.287,6
10,17,Olivier Panis,PAN,Toyota,1:14.368,6
11,4,Antonio Pizzonia,PIZ,Williams BMW,1:14.556,6
12,14,Mark Webber,WEB,Jaguar Cosworth,1:14.802,6
13,15,Christian Klien,KLI,Jaguar Cosworth,1:15.011,6
14,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:15.395,6
15,16,Cristiano da Matta,DAM,Toyota,1:15.454,6
16,12,Felipe Massa,MAS,Sauber Petronas,1:15.616,6
17,19,Giorgio Pantano,PAN,Jordan Ford,1:16.192,6
18,18,Nick Heidfeld,HEI,Jordan Ford,1:16.310,6
19,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:18.055,6
20,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:18.400,6
