Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:15.022,6
2,3,Juan Pablo Montoya,MOY,Williams BMW,1:15.639,6
3,10,Takuma Sato,SAT,BAR Honda,1:15.809,6
4,7,Jarno Trulli,TRU,Renault,1:16.144,6
5,2,Rubens Barrichello,BAR,Ferrari,1:16.272,6
6,4,Ralf Schumacher,RSC,Williams BMW,1:16.293,6
7,17,Olivier Panis,PAN,Toyota,1:16.313,6
8,8,Fernando Alonso,ALO,Renault,1:16.422,6
9,14,Mark Webber,WEB,Jaguar Cosworth,1:16.514,6
10,5,David Coulthard,COU,McLaren Mercedes,1:16.636,6
11,16,Cristiano da Matta,DAM,Toyota,1:17.038,6
12,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:17.444,6
13,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:17.445,6
14,9,Jenson Button,BUT,BAR Honda,1:17.575,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:17.802,6
16,15,Christian Klien,KLI,Jaguar Cosworth,1:17.812,6
17,12,Felipe Massa,MAS,Sauber Petronas,1:17.866,6
18,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:19.817,6
19,19,Giorgio Pantano,PAN,Jordan Ford,1:20.607,6
20,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:21.470,6
