Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:10.223,6
2,1,Michael Schumacher,MSC,Ferrari,1:10.400,6
3,10,Takuma Sato,SAT,BAR Honda,1:10.601,6
4,9,Jenson Button,BUT,BAR Honda,1:10.820,6
5,3,Juan Pablo Montoya,MOY,Williams BMW,1:11.062,6
6,4,Ralf Schumacher,RSC,Williams BMW,1:11.106,6
7,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:11.137,6
8,17,Olivier Panis,PAN,Toyota,1:11.167,6
9,8,Fernando Alonso,ALO,Renault,1:11.185,6
10,14,Mark Webber,WEB,Jaguar Cosworth,1:11.286,6
11,16,Cristiano da Matta,DAM,Toyota,1:11.691,6
12,5,David Coulthard,COU,McLaren Mercedes,1:12.026,6
13,15,Christian Klien,KLI,Jaguar Cosworth,1:12.170,6
14,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:12.470,6
15,12,Felipe Massa,MAS,Sauber Petronas,1:12.721,6
16,18,Nick Heidfeld,HEI,Jordan Ford,1:13.147,6
17,19,Giorgio Pantano,PAN,Jordan Ford,1:13.375,6
18,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:14.010,6
19,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:14.812,6
20,7,Jarno Trulli,TRU,Renault,1:10.559,5
