Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Jackie Stewart,STE,Tyrrell Ford,78,1:57:44.300,9
2,1,Emerson Fittipaldi,FIT,Lotus Ford,78,+1.300s,6
3,2,Ronnie Peterson,PET,Lotus Ford,77,+1 lap,4
4,6,Francois Cevert,CEV,Tyrrell Ford,77,+1 lap,3
5,8,Peter Revson,REV,McLaren Ford,76,+2 laps,2
6,7,Denny Hulme,HUL,McLaren Ford,76,+2 laps,1
7,9,Andrea de Adamich,DEA,Brabham Ford,75,+3 laps,0
8,23,Mike Hailwood,HAI,Surtees Ford,75,+3 laps,0
9,27,James Hunt,HUN,March Ford,73,DNF,0
10,17,Jackie Oliver,OLI,Shadow Ford,72,+6 laps,0
11,11,Wilson Fittipaldi,FIT,Brabham Ford,71,DNF,0
NC,14,Jean-Pierre Jarier,JAR,March Ford,67,DNF,0
NC,12,Graham Hill,HIL,Shadow Ford,62,DNF,0
NC,4,Arturo Merzario,MER,Ferrari,58,DNF,0
NC,10,Carlos Reutemann,REU,Brabham Ford,46,DNF,0
NC,3,Jacky Ickx,ICK,Ferrari,44,DNF,0
NC,25,Howden Ganley,GAN,Iso Marlboro Ford,41,DNF,0
NC,20,Jean-Pierre Beltoise,BEL,BRM,39,DNF,0
NC,18,David Purley,PUR,March Ford,31,DNF,0
NC,24,Carlos Pace,PAC,Surtees Ford,31,DNF,0
NC,26,Nanni Galli,GAL,Iso Marlboro Ford,30,DNF,0
NC,21,Niki Lauda,LAU,BRM,24,DNF,0
NC,22,Chris Amon,AMO,Tecno,22,DNF,0
NC,19,Clay Regazzoni,REG,BRM,15,DNF,0
NC,15,Mike Beuttler,BEU,March Ford,3,DNF,0
