Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,8,Niki Lauda,LAU,McLaren Ford,75,1:58:25.318,9
2,6,Keke Rosberg,ROS,Williams Ford,75,+14.660s,6
DQ,27,Gilles Villeneuve,VIL,Ferrari,75,DSQ,0
3,2,Riccardo Patrese,PAT,Brabham Ford,75,+79.140s,4
4,3,Michele Alboreto,ALB,Tyrrell Ford,75,+80.950s,3
5,11,Elio de Angelis,DEA,Lotus Ford,74,+1 lap,2
6,7,John Watson,WAT,McLaren Ford,74,+1 lap,1
7,12,Nigel Mansell,MAN,Lotus Ford,73,+2 laps,0
8,17,Jochen Mass,MAS,March Ford,73,+2 laps,0
9,18,Raul Boesel,BOE,March Ford,70,+5 laps,0
10,4,Slim Borgudd,BOR,Tyrrell Ford,68,+7 laps,0
NC,25,Eddie Cheever,CHE,Ligier Matra,59,DNF,0
NC,22,Andrea de Cesaris,DEC,Alfa Romeo,33,DNF,0
NC,29,Brian Henton,HEN,Arrows Ford,32,DNF,0
NC,14,Roberto Guerrero,GUE,Ensign Ford,27,DNF,0
NC,26,Jacques Laffite,LAF,Ligier Matra,26,DNF,0
NC,31,Jean-Pierre Jarier,JAR,Osella Ford,26,DNF,0
NC,1,Nelson Piquet,PIQ,Brabham Ford,25,DNF,0
NC,33,Derek Daly,DAL,Theodore Ford,23,DNF,0
NC,5,Mario Andretti,AND,Williams Ford,19,DNF,0
NC,15,Alain Prost,PRO,Renault,10,DNF,0
NC,28,Didier Pironi,PIR,Ferrari,6,DNF,0
NC,16,Rene Arnoux,ARN,Renault,5,DNF,0
NC,23,Bruno Giacomelli,GIA,Alfa Romeo,5,DNF,0
NC,10,Eliseo Salazar,SAL,ATS Ford,3,DNF,0
NC,9,Manfred Winkelhock,WIN,ATS Ford,1,DNF,0
