Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,20 Mar 2016,Nico Rosberg,ROS,Mercedes,57,1:48:15.565
bahrain,03 Apr 2016,Nico Rosberg,ROS,Mercedes,57,1:33:34.696
china,17 Apr 2016,Nico Rosberg,ROS,Mercedes,56,1:38:53.891
russia,01 May 2016,Nico Rosberg,ROS,Mercedes,53,1:32:41.997
spain,15 May 2016,Max Verstappen,VES,Red Bull Racing TAG Heuer,66,1:41:40.017
monaco,29 May 2016,Lewis Hamilton,HAM,Mercedes,78,1:59:29.133
canada,12 Jun 2016,Lewis Hamilton,HAM,Mercedes,70,1:31:05.296
europe,19 Jun 2016,Nico Rosberg,ROS,Mercedes,51,1:32:52.366
austria,03 Jul 2016,Lewis Hamilton,HAM,Mercedes,71,1:27:38.107
great-britain,10 Jul 2016,Lewis Hamilton,HAM,Mercedes,52,1:34:55.831
hungary,24 Jul 2016,Lewis Hamilton,HAM,Mercedes,70,1:40:30.115
germany,31 Jul 2016,Lewis Hamilton,HAM,Mercedes,67,1:30:44.200
belgium,28 Aug 2016,Nico Rosberg,ROS,Mercedes,44,1:44:51.058
italy,04 Sep 2016,Nico Rosberg,ROS,Mercedes,53,1:17:28.089
singapore,18 Sep 2016,Nico Rosberg,ROS,Mercedes,61,1:55:48.950
malaysia,02 Oct 2016,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,56,1:37:12.776
japan,09 Oct 2016,Nico Rosberg,ROS,Mercedes,53,1:26:43.333
united-states,23 Oct 2016,Lewis Hamilton,HAM,Mercedes,56,1:38:12.618
mexico,30 Oct 2016,Lewis Hamilton,HAM,Mercedes,71,1:40:31.402
brazil,13 Nov 2016,Lewis Hamilton,HAM,Mercedes,71,3:01:01.335
abu-dhabi,27 Nov 2016,Lewis Hamilton,HAM,Mercedes,55,1:38:04.013
