Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,32,Juan Manuel Fangio,FAN,Maserati,105.0,3:10:12.800,9
2,20,Tony Brooks,BRO,Vanwall,105.0,+25.200s,6
3,2,Masten Gregory,GRE,Maserati,103.0,+2 laps,4
4,10,Stuart Lewis-Evans,LEW,Connaught Alta,102.0,+3 laps,3
5,30,Maurice Trintignant,TRI,Ferrari,100.0,+5 laps,2
6,14,Jack Brabham,BRA,Cooper Climax,100.0,+5 laps,0
7,24,Wolfgang von Trips,VON,Ferrari,,SHC,0
7,24,Mike Hawthorn,HAW,Ferrari,95.0,DNF,0
NC,34,Giorgio Scarlatti,SCA,Maserati,,SHC,0
NC,34,Harry Schell,SCH,Maserati,64.0,DNF,0
NC,6,Ron Flockhart,FLO,BRM,60.0,DNF,0
NC,36,Carlos Menditeguy,MEN,Maserati,51.0,DNF,0
NC,12,Ivor Bueb,BUE,Connaught Alta,47.0,DNF,0
NC,38,Harry Schell,SCH,Maserati,23.0,DNF,0
NC,22,Horace Gould,GOU,Maserati,10.0,DNF,0
NC,28,Mike Hawthorn,HAW,Ferrari,4.0,DNF,0
NC,26,Peter Collins,COL,Ferrari,4.0,DNF,0
NC,18,Stirling Moss,MOS,Vanwall,4.0,DNF,0
