Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
brazil,03 Apr 1988,Alain Prost,PRO,McLaren Honda,60,1:36:06.857
san-marino,01 May 1988,Ayrton Senna,SEN,McLaren Honda,60,1:32:41.264
monaco,15 May 1988,Alain Prost,PRO,McLaren Honda,78,1:57:17.077
mexico,29 May 1988,Alain Prost,PRO,McLaren Honda,67,1:30:15.737
canada,12 Jun 1988,Ayrton Senna,SEN,McLaren Honda,69,1:39:46.618
detroit,19 Jun 1988,Ayrton Senna,SEN,McLaren Honda,63,1:54:56.035
france,03 Jul 1988,Alain Prost,PRO,McLaren Honda,80,1:37:37.328
great-britain,10 Jul 1988,Ayrton Senna,SEN,McLaren Honda,65,1:33:16.367
germany,24 Jul 1988,Ayrton Senna,SEN,McLaren Honda,44,1:32:54.188
hungary,07 Aug 1988,Ayrton Senna,SEN,McLaren Honda,76,1:57:47.081
belgium,28 Aug 1988,Ayrton Senna,SEN,McLaren Honda,43,1:28:00.549
italy,11 Sep 1988,Gerhard Berger,BER,Ferrari,51,1:17:39.744
portugal,25 Sep 1988,Alain Prost,PRO,McLaren Honda,70,1:37:40.958
spain,02 Oct 1988,Alain Prost,PRO,McLaren Honda,72,1:48:43.851
japan,30 Oct 1988,Ayrton Senna,SEN,McLaren Honda,51,1:33:26.173
australia,13 Nov 1988,Alain Prost,PRO,McLaren Honda,82,1:53:14.676
