Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,12,Ayrton Senna,SEN,McLaren Honda,63,1:54:56.035,9
2,11,Alain Prost,PRO,McLaren Honda,63,+38.713s,6
3,20,Thierry Boutsen,BOU,Benetton Ford,62,+1 lap,4
4,22,Andrea de Cesaris,DEC,Rial Ford,62,+1 lap,3
5,3,Jonathan Palmer,PAL,Tyrrell Ford,62,+1 lap,2
6,23,Pierluigi Martini,MAR,Minardi Ford,62,+1 lap,1
7,29,Yannick Dalmas,DAL,Lola Ford,61,+2 laps,0
8,36,Alex Caffi,CAF,Dallara Ford,61,+2 laps,0
9,4,Julian Bailey,BAI,Tyrrell Ford,59,DNF,0
NC,24,Luis Perez-Sala,PER,Minardi Ford,54,DNF,0
NC,30,Philippe Alliot,ALL,Lola Ford,46,DNF,0
NC,33,Stefano Modena,MOD,Euro Brun Ford,46,DNF,0
NC,27,Michele Alboreto,ALB,Ferrari,45,DNF,0
NC,25,Rene Arnoux,ARN,Ligier Judd,45,DNF,0
NC,15,Mauricio Gugelmin,GUG,March Judd,34,DNF,0
NC,6,Riccardo Patrese,PAT,Williams Judd,26,DNF,0
NC,1,Nelson Piquet,PIQ,Lotus Honda,26,DNF,0
NC,32,Oscar Larrauri,LAR,Euro Brun Ford,26,DNF,0
NC,17,Derek Warwick,WAR,Arrows Megatron,24,DNF,0
NC,5,Nigel Mansell,MAN,Williams Judd,18,DNF,0
NC,14,Philippe Streiff,STR,AGS Ford,15,DNF,0
NC,19,Alessandro Nannini,NAN,Benetton Ford,14,DNF,0
NC,18,Eddie Cheever,CHE,Arrows Megatron,14,DNF,0
NC,21,Nicola Larini,LAR,Osella,7,DNF,0
NC,28,Gerhard Berger,BER,Ferrari,6,DNF,0
NC,26,Stefan Johansson,JOH,Ligier Judd,2,DNF,0
