Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,01 Mar 1969,Jackie Stewart,STE,Matra Ford,80,1:50:39.100
spain,04 May 1969,Jackie Stewart,STE,Matra Ford,90,2:16:53.990
monaco,18 May 1969,Graham Hill,HIL,Lotus Ford,80,1:56:59.400
netherlands,21 Jun 1969,Jackie Stewart,STE,Matra Ford,90,2:06:42.080
france,06 Jul 1969,Jackie Stewart,STE,Matra Ford,38,1:56:47.400
great-britain,19 Jul 1969,Jackie Stewart,STE,Matra Ford,84,1:55:55.600
germany,03 Aug 1969,Jacky Ickx,ICK,Brabham Ford,14,1:49:55.400
italy,07 Sep 1969,Jackie Stewart,STE,Matra Ford,68,1:39:11.260
canada,20 Sep 1969,Jacky Ickx,ICK,Brabham Ford,90,1:59:25.700
united-states,05 Oct 1969,Jochen Rindt,RIN,Lotus Ford,108,1:57:56.840
mexico,19 Oct 1969,Denny Hulme,HUL,McLaren Ford,65,1:54:08.800
