Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:24.204,12
2,6,Jacques Villeneuve,VIL,Williams Renault,1:24.521,11
3,1,Michael Schumacher,MSC,Ferrari,1:24.781,9
4,7,Mika Hakkinen,HAK,McLaren Mercedes,1:24.939,11
5,8,David Coulthard,COU,McLaren Mercedes,1:24.976,11
6,3,Jean Alesi,ALE,Benetton Renault,1:25.201,11
7,2,Eddie Irvine,IRV,Ferrari,1:25.226,12
8,4,Gerhard Berger,BER,Benetton Renault,1:25.470,12
9,12,Martin Brundle,BRU,Jordan Peugeot,1:26.037,12
10,11,Rubens Barrichello,BAR,Jordan Peugeot,1:26.194,12
11,9,Olivier Panis,PAN,Ligier Mugen Honda,1:26.206,9
12,14,Johnny Herbert,HER,Sauber Ford,1:26.345,12
13,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:26.505,9
14,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:26.726,11
15,17,Jos Verstappen,VER,Footwork Hart,1:27.270,9
16,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:28.234,12
17,19,Mika Salo,SAL,Tyrrell Yamaha,1:28.472,7
18,20,Pedro Lamy,LAM,Minardi Ford,1:28.933,12
19,16,Ricardo Rosset,ROS,Footwork Hart,1:29.181,7
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:29.833,12
