Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:20.356,11
2,5,Damon Hill,HIL,Williams Renault,1:20.866,12
3,3,Jean Alesi,ALE,Benetton Renault,1:20.918,12
4,4,Gerhard Berger,BER,Benetton Renault,1:21.067,11
5,8,David Coulthard,COU,McLaren Mercedes,1:21.460,12
6,11,Rubens Barrichello,BAR,Jordan Peugeot,1:21.504,11
7,2,Eddie Irvine,IRV,Ferrari,1:21.542,12
8,7,Mika Hakkinen,HAK,McLaren Mercedes,1:21.688,12
9,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:21.929,12
10,6,Jacques Villeneuve,VIL,Williams Renault,1:21.963,12
11,19,Mika Salo,SAL,Tyrrell Yamaha,1:22.235,12
12,17,Jos Verstappen,VER,Footwork Hart,1:22.327,11
13,14,Johnny Herbert,HER,Sauber Ford,1:22.346,10
14,9,Olivier Panis,PAN,Ligier Mugen Honda,1:22.358,7
15,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:22.460,12
16,12,Martin Brundle,BRU,Jordan Peugeot,1:22.519,12
17,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:22.682,11
18,21,Giancarlo Fisichella,FIS,Minardi Ford,1:22.684,12
19,20,Pedro Lamy,LAM,Minardi Ford,1:23.350,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:24.976,11
21,22,Luca Badoer,BAD,Forti Ford,1:25.059,5
22,23,Andrea Montermini,MON,Forti Ford,1:25.393,11
