Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:26.890,11
2,5,Damon Hill,HIL,Williams Renault,1:27.105,11
3,6,Jacques Villeneuve,VIL,Williams Renault,1:27.220,12
4,8,David Coulthard,COU,McLaren Mercedes,1:27.688,11
5,3,Jean Alesi,ALE,Benetton Renault,1:28.009,10
6,2,Eddie Irvine,IRV,Ferrari,1:28.205,12
7,4,Gerhard Berger,BER,Benetton Renault,1:28.336,12
8,19,Mika Salo,SAL,Tyrrell Yamaha,1:28.423,12
9,11,Rubens Barrichello,BAR,Jordan Peugeot,1:28.632,12
10,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:28.785,12
11,7,Mika Hakkinen,HAK,McLaren Mercedes,1:29.079,12
12,12,Martin Brundle,BRU,Jordan Peugeot,1:29.099,12
13,9,Olivier Panis,PAN,Ligier Mugen Honda,1:29.472,11
14,17,Jos Verstappen,VER,Footwork Hart,1:29.539,12
15,14,Johnny Herbert,HER,Sauber Ford,1:29.541,12
16,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:29.892,11
17,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:29.989,12
18,20,Pedro Lamy,LAM,Minardi Ford,1:30.471,11
19,21,Giancarlo Fisichella,FIS,Minardi Ford,1:30.814,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:31.316,10
21,22,Luca Badoer,BAD,Forti Ford,1:32.037,12
22,23,Andrea Montermini,MON,Forti Ford,1:33.685,9
