Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:18.941,9
2,6,Jacques Villeneuve,VIL,Williams Renault,1:19.721,12
3,1,Michael Schumacher,MSC,Ferrari,1:20.149,11
4,3,Jean Alesi,ALE,Benetton Renault,1:20.711,9
5,11,Rubens Barrichello,BAR,Jordan Peugeot,1:20.818,12
6,8,David Coulthard,COU,McLaren Mercedes,1:20.888,12
7,2,Eddie Irvine,IRV,Ferrari,1:20.931,12
8,4,Gerhard Berger,BER,Benetton Renault,1:21.054,12
9,7,Mika Hakkinen,HAK,McLaren Mercedes,1:21.078,11
10,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:21.113,12
11,12,Martin Brundle,BRU,Jordan Peugeot,1:21.177,11
12,14,Johnny Herbert,HER,Sauber Ford,1:21.210,12
13,17,Jos Verstappen,VER,Footwork Hart,1:21.367,12
14,19,Mika Salo,SAL,Tyrrell Yamaha,1:21.458,12
15,9,Olivier Panis,PAN,Ligier Mugen Honda,1:21.509,11
16,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:21.812,11
17,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:22.733,12
18,21,Giancarlo Fisichella,FIS,Minardi Ford,1:22.921,11
19,20,Pedro Lamy,LAM,Minardi Ford,1:23.139,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:23.620,11
21,23,Andrea Montermini,MON,Forti Ford,1:25.053,12
22,22,Luca Badoer,BAD,Forti Ford,1:25.840,12
