Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:20.650,11
2,6,Jacques Villeneuve,VIL,Williams Renault,1:21.084,12
3,1,Michael Schumacher,MSC,Ferrari,1:21.587,11
4,3,Jean Alesi,ALE,Benetton Renault,1:22.061,8
5,4,Gerhard Berger,BER,Benetton Renault,1:22.125,12
6,2,Eddie Irvine,IRV,Ferrari,1:22.333,11
7,11,Rubens Barrichello,BAR,Jordan Peugeot,1:22.379,12
8,9,Olivier Panis,PAN,Ligier Mugen Honda,1:22.685,11
9,14,Johnny Herbert,HER,Sauber Ford,1:23.027,11
10,7,Mika Hakkinen,HAK,McLaren Mercedes,1:23.070,12
11,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:23.195,11
12,19,Mika Salo,SAL,Tyrrell Yamaha,1:23.224,12
13,17,Jos Verstappen,VER,Footwork Hart,1:23.371,12
14,8,David Coulthard,COU,McLaren Mercedes,1:23.416,12
15,12,Martin Brundle,BRU,Jordan Peugeot,1:23.438,12
16,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:24.401,10
17,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:24.468,12
18,20,Pedro Lamy,LAM,Minardi Ford,1:25.274,12
19,21,Giancarlo Fisichella,FIS,Minardi Ford,1:25.531,12
20,16,Ricardo Rosset,ROS,Footwork Hart,1:25.621,12
21,22,Luca Badoer,BAD,Forti Ford,1:26.615,12
22,23,Andrea Montermini,MON,Forti Ford,1:27.358,12
