Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:26.875,10
2,6,Jacques Villeneuve,VIL,Williams Renault,1:27.070,12
3,1,Michael Schumacher,MSC,Ferrari,1:27.707,9
4,7,Mika Hakkinen,HAK,McLaren Mercedes,1:27.856,12
5,3,Jean Alesi,ALE,Benetton Renault,1:28.307,10
6,11,Rubens Barrichello,BAR,Jordan Peugeot,1:28.409,12
7,4,Gerhard Berger,BER,Benetton Renault,1:28.653,9
8,12,Martin Brundle,BRU,Jordan Peugeot,1:28.946,11
9,8,David Coulthard,COU,McLaren Mercedes,1:28.966,12
10,2,Eddie Irvine,IRV,Ferrari,1:29.186,12
11,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:29.591,12
12,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:29.913,12
13,14,Johnny Herbert,HER,Sauber Ford,1:29.947,12
14,19,Mika Salo,SAL,Tyrrell Yamaha,1:29.949,12
15,17,Jos Verstappen,VER,Footwork Hart,1:30.102,12
16,9,Olivier Panis,PAN,Ligier Mugen Honda,1:30.167,10
17,16,Ricardo Rosset,ROS,Footwork Hart,1:30.529,11
18,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:31.076,12
19,21,Giancarlo Fisichella,FIS,Minardi Ford,1:31.365,11
20,20,Pedro Lamy,LAM,Minardi Ford,1:31.454,12
21,23,Andrea Montermini,MON,Forti Ford,1:35.206,3
22,22,Luca Badoer,BAD,Forti Ford,1:35.304,3
