Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Damon Hill,HIL,Williams Renault,1:43.912,12
2,4,Gerhard Berger,BER,Benetton Renault,1:44.299,11
3,1,Michael Schumacher,MSC,Ferrari,1:44.477,11
4,7,Mika Hakkinen,HAK,McLaren Mercedes,1:44.644,11
5,3,Jean Alesi,ALE,Benetton Renault,1:44.670,10
6,6,Jacques Villeneuve,VIL,Williams Renault,1:44.842,12
7,8,David Coulthard,COU,McLaren Mercedes,1:44.951,12
8,2,Eddie Irvine,IRV,Ferrari,1:45.389,12
9,11,Rubens Barrichello,BAR,Jordan Peugeot,1:45.452,12
10,12,Martin Brundle,BRU,Jordan Peugeot,1:45.876,12
11,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:46.575,12
12,9,Olivier Panis,PAN,Ligier Mugen Honda,1:46.746,11
13,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:46.899,11
14,14,Johnny Herbert,HER,Sauber Ford,1:47.711,11
15,19,Mika Salo,SAL,Tyrrell Yamaha,1:48.139,12
16,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:48.381,12
17,17,Jos Verstappen,VER,Footwork Hart,1:48.512,12
18,20,Pedro Lamy,LAM,Minardi Ford,1:49.461,12
19,16,Ricardo Rosset,ROS,Footwork Hart,1:49.551,12
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:51.357,12
