Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:17.129,9
2,5,Damon Hill,HIL,Williams Renault,1:17.182,12
3,6,Jacques Villeneuve,VIL,Williams Renault,1:17.259,11
4,2,Eddie Irvine,IRV,Ferrari,1:18.617,12
5,3,Jean Alesi,ALE,Benetton Renault,1:18.754,9
6,4,Gerhard Berger,BER,Benetton Renault,1:18.794,12
7,7,Mika Hakkinen,HAK,McLaren Mercedes,1:19.116,11
8,14,Johnny Herbert,HER,Sauber Ford,1:19.292,12
9,8,David Coulthard,COU,McLaren Mercedes,1:19.384,12
10,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:19.436,10
11,9,Olivier Panis,PAN,Ligier Mugen Honda,1:19.538,11
12,12,Martin Brundle,BRU,Jordan Peugeot,1:19.828,12
13,11,Rubens Barrichello,BAR,Jordan Peugeot,1:19.966,12
14,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:20.499,12
15,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:20.665,12
16,19,Mika Salo,SAL,Tyrrell Yamaha,1:20.678,12
17,17,Jos Verstappen,VER,Footwork Hart,1:20.781,11
18,16,Ricardo Rosset,ROS,Footwork Hart,1:21.590,12
19,20,Pedro Lamy,LAM,Minardi Ford,1:21.713,12
20,21,Giovanni Lavaggi,LAV,Minardi Ford,1:22.468,12
