Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Jacques Villeneuve,VIL,Williams Renault,1:32.371,11
2,5,Damon Hill,HIL,Williams Renault,1:32.509,11
3,2,Eddie Irvine,IRV,Ferrari,1:32.889,12
4,1,Michael Schumacher,MSC,Ferrari,1:33.125,11
5,7,Mika Hakkinen,HAK,McLaren Mercedes,1:34.054,12
6,3,Jean Alesi,ALE,Benetton Renault,1:34.257,12
7,4,Gerhard Berger,BER,Benetton Renault,1:34.344,11
8,11,Rubens Barrichello,BAR,Jordan Peugeot,1:34.474,12
9,15,Heinz-Harald Frentzen,FRE,Sauber Ford,1:34.494,11
10,19,Mika Salo,SAL,Tyrrell Yamaha,1:34.832,12
11,9,Olivier Panis,PAN,Ligier Mugen Honda,1:35.330,12
12,17,Jos Verstappen,VER,Footwork Hart,1:35.338,11
13,8,David Coulthard,COU,McLaren Mercedes,1:35.351,12
14,14,Johnny Herbert,HER,Sauber Ford,1:35.453,12
15,18,Ukyo Katayama,KAT,Tyrrell Yamaha,1:35.715,12
16,21,Giancarlo Fisichella,FIS,Minardi Ford,1:35.898,5
17,20,Pedro Lamy,LAM,Minardi Ford,1:36.109,12
18,16,Ricardo Rosset,ROS,Footwork Hart,1:36.198,12
19,12,Martin Brundle,BRU,Jordan Peugeot,1:36.286,12
20,10,Pedro Diniz,DIN,Ligier Mugen Honda,1:36.298,12
21,22,Luca Badoer,BAD,Forti Ford,1:39.202,11
22,23,Andrea Montermini,MON,Forti Ford,1:42.087,4
