Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,09 Mar 1997,David Coulthard,COU,McLaren Mercedes,58,1:30:28.718
brazil,30 Mar 1997,Jacques Villeneuve,VIL,Williams Renault,72,1:36:06.990
argentina,13 Apr 1997,Jacques Villeneuve,VIL,Williams Renault,72,1:52:01.715
san-marino,27 Apr 1997,Heinz-Harald Frentzen,FRE,Williams Renault,62,1:31:00.673
monaco,11 May 1997,Michael Schumacher,MSC,Ferrari,62,2:00:05.654
spain,25 May 1997,Jacques Villeneuve,VIL,Williams Renault,64,1:30:35.896
canada,15 Jun 1997,Michael Schumacher,MSC,Ferrari,54,1:17:40.646
france,29 Jun 1997,Michael Schumacher,MSC,Ferrari,72,1:38:50.492
great-britain,13 Jul 1997,Jacques Villeneuve,VIL,Williams Renault,59,1:28:01.665
germany,27 Jul 1997,Gerhard Berger,BER,Benetton Renault,45,1:20:59.046
hungary,10 Aug 1997,Jacques Villeneuve,VIL,Williams Renault,77,1:45:47.149
belgium,24 Aug 1997,Michael Schumacher,MSC,Ferrari,44,1:33:46.717
italy,07 Sep 1997,David Coulthard,COU,McLaren Mercedes,53,1:17:04.609
austria,21 Sep 1997,Jacques Villeneuve,VIL,Williams Renault,71,1:27:35.999
luxembourg,28 Sep 1997,Jacques Villeneuve,VIL,Williams Renault,67,1:31:27.843
japan,12 Oct 1997,Michael Schumacher,MSC,Ferrari,53,1:29:48.446
europe,26 Oct 1997,Mika Hakkinen,HAK,McLaren Mercedes,69,1:38:57.771
