Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Michael Schumacher,MSC,Ferrari,72,1:38:50.492,10
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,72,+23.537s,6
3,6,Eddie Irvine,IRV,Ferrari,72,+74.801s,4
4,3,Jacques Villeneuve,VIL,Williams Renault,72,+81.784s,3
5,7,Jean Alesi,ALE,Benetton Renault,72,+82.735s,2
6,11,Ralf Schumacher,RSC,Jordan Peugeot,72,+89.871s,1
7,10,David Coulthard,COU,McLaren Mercedes,71,DNF,0
8,16,Johnny Herbert,HER,Sauber Petronas,71,+1 lap,0
9,12,Giancarlo Fisichella,FIS,Jordan Peugeot,71,+1 lap,0
10,14,Jarno Trulli,TRU,Prost Mugen Honda,70,+2 laps,0
11,20,Ukyo Katayama,KAT,Minardi Hart,70,+2 laps,0
12,1,Damon Hill,HIL,Arrows Yamaha,69,+3 laps,0
NC,19,Mika Salo,SAL,Tyrrell Ford,61,DNF,0
NC,8,Alexander Wurz,WUR,Benetton Renault,60,DNF,0
NC,2,Pedro Diniz,DIN,Arrows Yamaha,58,DNF,0
NC,17,Norberto Fontana,FON,Sauber Petronas,40,DNF,0
NC,22,Rubens Barrichello,BAR,Stewart Ford,36,DNF,0
NC,23,Jan Magnussen,MAG,Stewart Ford,33,DNF,0
NC,9,Mika Hakkinen,HAK,McLaren Mercedes,18,DNF,0
NC,18,Jos Verstappen,VER,Tyrrell Ford,15,DNF,0
NC,15,Shinji Nakano,NAK,Prost Mugen Honda,7,DNF,0
NC,21,Tarso Marques,MAR,Minardi Hart,5,DNF,0
