Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Michael Schumacher,MSC,Ferrari,53,1:17:09.672,10
2,4,Eddie Irvine,IRV,Ferrari,53,+37.977s,6
3,10,Ralf Schumacher,RSC,Jordan Mugen Honda,53,+41.152s,4
4,8,Mika Hakkinen,HAK,McLaren Mercedes,53,+55.671s,3
5,14,Jean Alesi,ALE,Sauber Petronas,53,+61.872s,2
6,9,Damon Hill,HIL,Jordan Mugen Honda,53,+66.688s,1
7,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,52,+1 lap,0
8,5,Giancarlo Fisichella,FIS,Benetton Playlife,52,+1 lap,0
9,21,Toranosuke Takagi,TAK,Tyrrell Ford,52,+1 lap,0
10,18,Rubens Barrichello,BAR,Stewart Ford,52,+1 lap,0
11,23,Esteban Tuero,TUE,Minardi Ford,51,+2 laps,0
12,20,Ricardo Rosset,ROS,Tyrrell Ford,51,+2 laps,0
13,12,Jarno Trulli,TRU,Prost Peugeot,50,+3 laps,0
NC,19,Jos Verstappen,VER,Stewart Ford,39,DNF,0
NC,1,Jacques Villeneuve,VIL,Williams Mecachrome,37,DNF,0
NC,17,Mika Salo,SAL,Arrows,32,DNF,0
NC,6,Alexander Wurz,WUR,Benetton Playlife,24,DNF,0
NC,7,David Coulthard,COU,McLaren Mercedes,16,DNF,0
NC,11,Olivier Panis,PAN,Prost Peugeot,15,DNF,0
NC,22,Shinji Nakano,NAK,Minardi Ford,13,DNF,0
NC,15,Johnny Herbert,HER,Sauber Petronas,12,DNF,0
NC,16,Pedro Diniz,DIN,Arrows,10,DNF,0
