Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Michael Schumacher,MSC,Ferrari,72,1:48:36.175,10
2,8,Mika Hakkinen,HAK,McLaren Mercedes,72,+22.899s,6
3,4,Eddie Irvine,IRV,Ferrari,72,+57.745s,4
4,6,Alexander Wurz,WUR,Benetton Playlife,72,+68.134s,3
5,14,Jean Alesi,ALE,Sauber Petronas,72,+78.286s,2
6,7,David Coulthard,COU,McLaren Mercedes,72,+79.751s,1
7,5,Giancarlo Fisichella,FIS,Benetton Playlife,72,+88.438s,0
8,9,Damon Hill,HIL,Jordan Mugen Honda,71,+1 lap,0
9,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,71,+1 lap,0
10,18,Rubens Barrichello,BAR,Stewart Ford,70,+2 laps,0
11,12,Jarno Trulli,TRU,Prost Peugeot,70,+2 laps,0
12,21,Toranosuke Takagi,TAK,Tyrrell Ford,70,+2 laps,0
13,22,Shinji Nakano,NAK,Minardi Ford,69,+3 laps,0
14,20,Ricardo Rosset,ROS,Tyrrell Ford,68,+4 laps,0
15,11,Olivier Panis,PAN,Prost Peugeot,65,DNF,0
NC,23,Esteban Tuero,TUE,Minardi Ford,63,DNF,0
NC,1,Jacques Villeneuve,VIL,Williams Mecachrome,52,DNF,0
NC,15,Johnny Herbert,HER,Sauber Petronas,46,DNF,0
NC,10,Ralf Schumacher,RSC,Jordan Mugen Honda,22,DNF,0
NC,17,Mika Salo,SAL,Arrows,18,DNF,0
NC,19,Jan Magnussen,MAG,Stewart Ford,17,DNF,0
NC,16,Pedro Diniz,DIN,Arrows,13,DNF,0
