Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,0,Damon Hill,HIL,Williams Renault,71,1:41:10.165,10
2,2,David Coulthard,COU,Williams Renault,71,+0.603s,6
3,7,Mika Hakkinen,HAK,McLaren Peugeot,71,+20.193s,4
4,14,Rubens Barrichello,BAR,Jordan Hart,71,+28.003s,3
5,6,Jos Verstappen,VER,Benetton Ford,71,+29.385s,2
6,8,Martin Brundle,BRU,McLaren Peugeot,71,+52.702s,1
7,15,Eddie Irvine,IRV,Jordan Hart,70,+1 lap,0
8,9,Christian Fittipaldi,FIT,Footwork Ford,70,+1 lap,0
9,10,Gianni Morbidelli,MOR,Footwork Ford,70,+1 lap,0
10,25,Eric Bernard,BER,Ligier Renault,70,+1 lap,0
11,12,Johnny Herbert,HER,Lotus Mugen Honda,70,+1 lap,0
12,23,Pierluigi Martini,MAR,Minardi Ford,69,+2 laps,0
13,24,Michele Alboreto,ALB,Minardi Ford,69,+2 laps,0
14,19,Yannick Dalmas,DAL,Larrousse Ford,69,+2 laps,0
15,32,Jean-Marc Gounon,GOU,Simtek Ford,67,+4 laps,0
16,11,Philippe Adams,ADA,Lotus Mugen Honda,67,+4 laps,0
NC,4,Mark Blundell,BLU,Tyrrell Yamaha,61,DNF,0
NC,5,Jyrki Jarvilehto,JAR,Benetton Ford,60,DNF,0
NC,29,Andrea de Cesaris,DEC,Sauber Mercedes,54,DNF,0
NC,27,Jean Alesi,ALE,Ferrari,38,DNF,0
NC,31,David Brabham,BRA,Simtek Ford,36,DNF,0
NC,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,31,DNF,0
NC,20,Erik Comas,COM,Larrousse Ford,27,DNF,0
NC,3,Ukyo Katayama,KAT,Tyrrell Yamaha,26,DNF,0
NC,28,Gerhard Berger,BER,Ferrari,7,DNF,0
