Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Michael Schumacher,MSC,Benetton Ford,58,1:28:28.642,10
2,27,Nicola Larini,LAR,Ferrari,58,+54.942s,6
3,7,Mika Hakkinen,HAK,McLaren Peugeot,58,+70.679s,4
4,29,Karl Wendlinger,WEN,Sauber Mercedes,58,+73.658s,3
5,3,Ukyo Katayama,KAT,Tyrrell Yamaha,57,+1 lap,2
6,0,Damon Hill,HIL,Williams Renault,57,+1 lap,1
7,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,57,+1 lap,0
8,8,Martin Brundle,BRU,McLaren Peugeot,57,+1 lap,0
9,4,Mark Blundell,BLU,Tyrrell Yamaha,56,+2 laps,0
10,12,Johnny Herbert,HER,Lotus Mugen Honda,56,+2 laps,0
11,26,Olivier Panis,PAN,Ligier Renault,56,+2 laps,0
12,25,Eric Bernard,BER,Ligier Renault,55,+3 laps,0
13,9,Christian Fittipaldi,FIT,Footwork Ford,54,DNF,0
NC,15,Andrea de Cesaris,DEC,Jordan Hart,49,DNF,0
NC,24,Michele Alboreto,ALB,Minardi Ford,44,DNF,0
NC,10,Gianni Morbidelli,MOR,Footwork Ford,40,DNF,0
NC,23,Pierluigi Martini,MAR,Minardi Ford,37,DNF,0
NC,31,David Brabham,BRA,Simtek Ford,27,DNF,0
NC,34,Bertrand Gachot,GAC,Pacific Ilmor,23,DNF,0
NC,19,Olivier Beretta,BER,Larrousse Ford,17,DNF,0
NC,28,Gerhard Berger,BER,Ferrari,16,DNF,0
NC,2,Ayrton Senna,SEN,Williams Renault,5,DNF,0
NC,20,Erik Comas,COM,Larrousse Ford,5,DNF,0
