Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Jochen Rindt,RIN,Lotus Ford,80,1:57:02.000,9
2,17,Jack Brabham,BRA,Brabham Ford,80,+32.900s,6
3,9,Denny Hulme,HUL,McLaren Ford,80,+54.400s,4
4,4,Clay Regazzoni,REG,Ferrari,80,+54.800s,3
5,16,Chris Amon,AMO,March Ford,79,+1 lap,2
6,14,Graham Hill,HIL,Lotus Ford,79,+1 lap,1
7,2,Francois Cevert,CEV,March Ford,79,+1 lap,0
8,28,Emerson Fittipaldi,FIT,Lotus Ford,78,+2 laps,0
9,27,Ronnie Peterson,PET,March Ford,72,+8 laps,0
NC,29,Pete Lovely,LOV,Lotus Ford,69,+11 laps,0
NC,10,Dan Gurney,GUR,McLaren Ford,60,DNF,0
NC,22,Pedro Rodriguez,ROD,BRM,58,DNF,0
NC,23,Jackie Oliver,OLI,BRM,54,DNF,0
NC,1,Jackie Stewart,STE,March Ford,52,DNF,0
NC,20,John Surtees,SUR,Surtees Ford,51,DNF,0
NC,8,Henri Pescarolo,PES,Matra,41,DNF,0
NC,7,Jean-Pierre Beltoise,BEL,Matra,24,DNF,0
NC,26,Mario Andretti,AND,March Ford,21,DNF,0
NC,15,Jo Siffert,SIF,March Ford,19,DNF,0
NC,6,John Miles,MIL,Lotus Ford,15,DNF,0
NC,24,George Eaton,EAT,BRM,10,DNF,0
NC,3,Jacky Ickx,ICK,Ferrari,6,DNF,0
